"","Name","p_value","p_adj","time0","time12"
"1","ko00010",0.01171875,0.2140625,0.0294648779088708,0.0281065097087071
"2","ko00020",0.1640625,0.505091292134832,0.00826977422257656,0.00853525562082414
"3","ko00030",0.1640625,0.505091292134832,0.014068391632752,0.0114082840258808
"4","ko00040",0.1640625,0.505091292134832,0.0033076283716304,0.00271564499820464
"5","ko00051",0.8203125,1,0.0129393983878939,0.0129093029745229
"6","ko00052",0.1640625,0.505091292134832,0.00630792095697603,0.00501490778232212
"7","ko00053",0.01953125,0.232676630434783,0.000256439610842516,0.00015044839453984
"8","ko00061",0.91015625,1,0.000218399985003224,0.000219097832523231
"9","ko00071",0.65234375,0.902738320707071,0.00710651199632767,0.00766576656751607
"10","ko00072",0.25,0.617117117117117,0.00130968216961083,0.00205032940518909
"11","ko00120",0.12890625,0.458705357142857,0.000257737538059443,0.000147784950796285
"12","ko00121",0.12890625,0.458705357142857,0.000257737538059443,0.000147784950796285
"13","ko00130",0.00390625,0.152901785714286,6.11615333506597e-05,1.88470746255438e-05
"14","ko00140",0.371093369522698,0.716053403163515,0,0
"15","ko00190",1,1,0.00360835123330492,0.00372224249495442
"16","ko00195",0.49609375,0.823816287878788,0.00166624684221199,0.00138372380836579
"17","ko00220",0.07421875,0.415019132653061,0.0077356868480987,0.00889699209987296
"18","ko00230",0.359375,0.716053403163515,0.0112120927035698,0.00994328329904469
"19","ko00240",0.734375,0.976790048543689,0.00673541646173527,0.0068752000154615
"20","ko00250",0.09765625,0.416597265616177,0.00885424764668859,0.0103167680948667
"21","ko00260",1,1,0.00212094437018965,0.00213802219944805
"22","ko00261",0.42578125,0.777760416666667,0.00128253876460256,0.00107801724989767
"23","ko00270",0.65234375,0.902738320707071,0.00252941748643479,0.00303799196443842
"24","ko00280",0.07421875,0.415019132653061,0.00398108233619679,0.0058023463674589
"25","ko00281",0.799846105662473,1,0,0.000110925306982299
"26","ko00290",0.734375,0.976790048543689,0.00165855634498214,0.00213604338689025
"27","ko00300",0.0390625,0.305803571428571,0.00165292391773206,0.00185900870565008
"28","ko00310",0.09765625,0.416597265616177,0.00166423456380588,0.00269640693982731
"29","ko00311",0.107327557761612,0.438921654129577,1.46765477637924e-05,6.95999889026825e-06
