"","Name","p_value","p_adj","time0","time12"
"2334","ko:K15780",0.0800579199844347,0.600108961184137,7.99287443079512e-05,2.75617734597998e-05
"2335","ko:K15792",0.359375,0.83928394120996,1.93419146184168e-05,4.95933046582542e-05
"2336","ko:K15827",0.371093369522698,0.83928394120996,0,0
"2337","ko:K15833",1,1,0,0
"2338","ko:K15834",1,1,0,0
"2339","ko:K15856",1,1,0,0
"2340","ko:K15866",0.674986713970489,1,0,5.60090202668931e-06
"2341","ko:K15876",1,1,0,0
"2342","ko:K15894",1,1,0,0
"2343","ko:K15921",0.0142661867014469,0.43921493902439,3.98600325439163e-05,0
"2344","ko:K15922",0.401678166469773,0.879545136295743,0,8.88697413517818e-06
"2345","ko:K15923",1,1,0.000174254269999378,0.000199579357390297
"2346","ko:K15977",0.855132140584706,1,0,0
"2347","ko:K15986",1,1,0.000292495588973777,0.000170717285083601
"2348","ko:K15987",0.787406490666269,1,0,0
"2349","ko:K16011",1,1,4.63013388476569e-06,8.39491159463062e-06
"2350","ko:K16012",0.371093369522698,0.83928394120996,0,0
"2351","ko:K16014",0.371093369522698,0.83928394120996,0,0
"2352","ko:K16043",1,1,0,0
"2353","ko:K16066",0.371093369522698,0.83928394120996,0,0
"2354","ko:K16076",0.42578125,0.879545136295743,0.000184178450785713,9.57365978484141e-05
"2355","ko:K16077",0.371093369522698,0.83928394120996,0,0
"2356","ko:K16079",0.5703125,1,0.000152651166416168,0.000237815429639085
"2357","ko:K16087",0.42578125,0.879545136295743,0.00035082351406018,0.000337640817067316
"2358","ko:K16089",0.25,0.833132530120482,4.67555536475557e-05,7.03178583196019e-05
"2359","ko:K16092",0.91015625,1,0.000185062914249756,5.31788082404671e-05
"2360","ko:K16133",0.371093369522698,0.83928394120996,0,0
"2361","ko:K16139",0.5703125,1,0.000564644946722191,0.000673635076363199
"2362","ko:K16147",0.91015625,1,0.000106517481539361,0.00010614549121771
"2363","ko:K16148",0.554113130069446,1,1.83317143751577e-05,3.24833955476942e-05
"2364","ko:K16149",0.529368106184798,1,0,7.96579859086246e-06
"2365","ko:K16150",0.529368106184798,1,0,7.96579859086246e-06
"2366","ko:K16153",0.833634883024682,1,2.08776959989177e-05,2.67555029852191e-05
"2367","ko:K16181",0.208412803684149,0.748662097390071,2.04897736321539e-05,1.28156766070042e-05
"2368","ko:K16193",0.65234375,1,0.00111949097853993,0.0011564402600118
"2369","ko:K16203",0.1640625,0.747673496432854,7.95472099318977e-05,1.50557611681284e-05
"2370","ko:K16209",0.107327557761612,0.642942933689252,2.99151794359749e-05,0
"2371","ko:K16210",1,1,0,0
"2372","ko:K16211",1,1,0,0
"2373","ko:K16212",0.23395283347059,0.826454070727523,1.28542697757923e-05,1.35788643394522e-05
"2374","ko:K16213",1,1,4.49749392776576e-05,5.3451681951872e-05
"2375","ko:K16248",1,1,0,0
"2376","ko:K16264",0.1640625,0.747673496432854,0.000159140809303839,0.000257238454632766
"2377","ko:K16306",1,1,0,0
"2378","ko:K16328",1,1,0,0
"2379","ko:K16329",0.201242620957724,0.747673496432854,0,0
"2380","ko:K16363",1,1,0,0
"2381","ko:K16370",0.01953125,0.43921493902439,0.000405738744112215,0.000168580411840568
"2382","ko:K16371",0.528612125255688,1,1.00544421769485e-05,2.28092709032488e-05
"2383","ko:K16511",0.583882420770365,1,0,0
"2384","ko:K16552",0.00390625,0.308705357142857,0.000423472629620761,0.000149230310530749
"2385","ko:K16554",1,1,0,0
"2386","ko:K16555",1,1,0,0
"2387","ko:K16619",1,1,0,0
"2388","ko:K16650",0.371093369522698,0.83928394120996,0,0
"2389","ko:K16692",0.359375,0.83928394120996,3.97839874043944e-05,5.26310874789025e-06
"2390","ko:K16710",1,1,0,0
"2391","ko:K16784",0.932646638965876,1,3.47321879057289e-06,7.85864012593933e-06
"2392","ko:K16785",1,1,0,0
"2393","ko:K16786",0.932646638965876,1,3.47321879057289e-06,1.128879981765e-05
"2394","ko:K16787",0.271898710819648,0.83928394120996,0,1.128879981765e-05
"2395","ko:K16845",0.855132140584706,1,0,0
"2396","ko:K16846",0.855132140584706,1,0,0
"2397","ko:K16849",0.855132140584706,1,0,0
"2398","ko:K16850",0.855132140584706,1,0,0
"2399","ko:K16868",1,1,0,0
"2400","ko:K16869",1,1,1.37484043569016e-05,0
"2401","ko:K16876",1,1,0,0
"2402","ko:K16885",0.944182513250483,1,2.12637378484032e-05,1.38688849568474e-05
"2403","ko:K16886",1,1,0,0
"2404","ko:K16924",0.401678166469773,0.879545136295743,0,8.13127031170305e-06
"2405","ko:K16950",1,1,0,0
"2406","ko:K16951",0.371093369522698,0.83928394120996,0,0
"2407","ko:K16957",1,1,0,0
"2408","ko:K16961",1,1,0,0
"2409","ko:K17050",0.100348246462291,0.62797115320067,0,0
"2410","ko:K17062",0.0360316862182336,0.514508928571429,3.8196516779392e-05,0
"2411","ko:K17063",1,1,0,0
"2412","ko:K17067",0.359375,0.83928394120996,0.00162559643155985,0.0010790141245914
"2413","ko:K17073",0.799846105662473,1,1.23551627873566e-05,6.56931912209313e-06
"2414","ko:K17074",0.799846105662473,1,1.23551627873566e-05,6.56931912209313e-06
"2415","ko:K17076",1,1,0,0
"2416","ko:K17195",1,1,0,0
"2417","ko:K17202",0.734375,1,6.55443452054933e-05,9.5387744486399e-05
"2418","ko:K17203",0.371093369522698,0.83928394120996,0,0
"2419","ko:K17204",1,1,0,0
"2420","ko:K17205",1,1,0,0
"2421","ko:K17213",0.352542137499713,0.83928394120996,2.09633516677181e-05,0
"2422","ko:K17215",0.18144920772142,0.747673496432854,0,0
"2423","ko:K17216",1,1,0,0
"2424","ko:K17217",1,1,0,0
"2425","ko:K17234",0.12890625,0.699126838235294,9.30043217074138e-05,0.000514634019594693
"2426","ko:K17241",1,1,0,0
"2427","ko:K17244",0.0591720678258594,0.527967547117184,8.58663799279723e-05,0
"2428","ko:K17311",0.01953125,0.43921493902439,1.48693482948363e-05,4.03885733524969e-05
"2429","ko:K17318",0.12890625,0.699126838235294,0.00324998444826967,0.00497939178294911
"2430","ko:K17319",0.01171875,0.438027871621622,0.00014240847877244,0.00017668685841491
"2431","ko:K17320",0.359375,0.83928394120996,2.65512513277065e-05,6.11864013971654e-05
"2432","ko:K17326",0.12890625,0.699126838235294,0.000121786978917557,0.00020987937859158
"2433","ko:K17327",1,1,0,0
"2434","ko:K17363",0.787406490666269,1,0,0
"2435","ko:K17465",1,1,0,0
"2436","ko:K17467",0.371093369522698,0.83928394120996,0,0
"2437","ko:K17488",0.108319380730004,0.642942933689252,9.96048699785436e-06,0
"2438","ko:K17489",0.65234375,1,5.47067782324257e-05,2.13041537172988e-05
"2439","ko:K17623",1,1,0,0
"2440","ko:K17624",0.49609375,0.964975606540084,0.00591223989716211,0.00783280693832973
"2441","ko:K17680",1,1,0,0
"2442","ko:K17686",0.107327557761612,0.642942933689252,0,6.91443697227097e-06
"2443","ko:K17713",0.371093369522698,0.83928394120996,0,0
"2444","ko:K17716",0.787406490666269,1,0,0
"2445","ko:K17722",0.91015625,1,5.3186714543776e-05,5.9212734360651e-05
"2446","ko:K17723",0.8203125,1,7.28094484091664e-05,0.000102470493690533
"2447","ko:K17733",1,1,0,0
"2448","ko:K17734",0.01953125,0.43921493902439,0.000360294251634652,0.000689473365980415
"2449","ko:K17735",0.441208519505878,0.899987289788538,0,1.58281648070915e-05
"2450","ko:K17743",0.589638551626567,1,0,1.177621775819e-06
"2451","ko:K17758",0.0390625,0.514508928571429,4.77328327050684e-05,6.54191353494308e-06
"2452","ko:K17759",0.0390625,0.514508928571429,4.77328327050684e-05,6.54191353494308e-06
"2453","ko:K17810",0.583882420770365,1,0,0
"2454","ko:K17828",0.09765625,0.62797115320067,0.000126305384854104,6.42521888686252e-05
"2455","ko:K17835",1,1,0,0
"2456","ko:K17836",0.0759269629825577,0.591588674957055,4.60694817785627e-05,1.00140906127537e-05
"2457","ko:K17837",0.280712665268496,0.83928394120996,0,0
"2458","ko:K17865",1,1,0,0
"2459","ko:K17869",0.0208625823327655,0.450827365097105,4.68334363437228e-05,9.6227457977667e-06
"2460","ko:K17883",1,1,0,0
"2461","ko:K17898",0.0546875,0.527967547117184,1.35081700170312e-05,5.9640124802817e-05
"2462","ko:K17899",1,1,0,0
"2463","ko:K17948",0.422678074170635,0.879545136295743,0,0
"2464","ko:K17997",0.1640625,0.747673496432854,2.53765352642645e-05,0.000109694839894701
"2465","ko:K17998",0.0078125,0.366260593220339,0.000120919117966497,0.000447458921077395
"2466","ko:K17999",0.362726506485098,0.83928394120996,1.91380916787609e-05,3.91037351680539e-05
"2467","ko:K18006",0.371093369522698,0.83928394120996,0,0
"2468","ko:K18011",0.01953125,0.43921493902439,1.35081700170312e-05,5.9640124802817e-05
"2469","ko:K18012",0.01953125,0.43921493902439,0,0.000338550570021342
"2470","ko:K18013",0.446872820710831,0.902226439478948,0,8.21224948361959e-06
"2471","ko:K18014",0.29450739368011,0.83928394120996,1.05567864959635e-05,0
"2472","ko:K18095",1,1,0,0
