variable,variable_label,n,T0_yes,T12_yes,T0_n_pct,T12_n_pct,yes_yes,yes_no,no_yes,no_no,p_exact,p_holm,p_fdr
ATB_inh_oral,Inhaled/oral antibiotics,35,26,18,26/35 (74.3%),18/35 (51.4%),18,8,0,9,0.0078125,0.0078125,0.0078125
ATB_azi,Azithromycin,35,16,2,16/35 (45.7%),2/35 (5.7%),2,14,0,19,1.2207031249999999e-4,2.4414062499999997e-4,2.4414062499999997e-4
