"term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Time",2041.60952380952,2041.60952380952,1,33.0000033780919,30.9978673669655,3.45288991306385e-06
"AgeGroup",1668.9087155537,1668.9087155537,1,32.9999912272594,25.3391309204791,1.66984534657271e-05
"Time:AgeGroup",22.8666666666667,22.8666666666667,1,33.0000033776116,0.347185831664487,0.559722981028755
