taxon,lfc_(Intercept),lfc_AST,lfc_Age,lfc_Sexmale,se_(Intercept),se_AST,se_Age,se_Sexmale,W_(Intercept),W_AST,W_Age,W_Sexmale,p_(Intercept),p_AST,p_Age,p_Sexmale,q_(Intercept),q_AST,q_Age,q_Sexmale,diff_(Intercept),diff_AST,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_AST,passed_ss_Age,passed_ss_Sexmale
Streptococcus_mitis,0.38555512023532046,-0.02058386706998375,-0.004763439296458202,0.173431351950782,0.5676931903669442,0.01191475202263864,0.008120622885012337,0.2590017251362025,0.6791610799243624,-1.7275950880784885,-0.5865854582718953,0.6696146593601985,0.5188536968169543,0.1276966559489312,0.5759019024695993,0.5245680800336192,0.8107452455306561,0.2598349347134774,0.8750717219343261,0.7768919666320689,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,0.08048895213183783,-0.011494527545049815,-0.005911725787775697,-0.021557755701869335,0.5616381401128312,0.010674388553843507,0.0071734765349808,0.2362684404709074,0.14331105098323252,-1.0768324093758983,-0.8241088904309798,-0.09124263764937247,0.8907363997794303,0.32293503781466126,0.4413988406945006,0.9302697547631473,1,0.5140598561131342,0.7197855349720299,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,0.6290004870294885,0.03117572382134187,-0.02612177967551163,-1.7998887252009006,0.5530670483422201,0.011921753716400132,0.006219878374890308,0.25250861461988966,1.1372951777092373,2.6150283391993794,-4.199725155553754,-7.128028989863725,0.37331644474104475,0.12038985128474826,0.05228958295945636,0.019119007091037123,0.6334392770122984,0.2493028778816911,0.17479660589303986,0.08441221998684315,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterocloster_clostridioformis,0.949203821310377,-0.01968112797743752,-0.03367076732242956,1.045815623352526,0.6780833147336227,0.01639281234334552,0.01386291085862564,0.4278419418204297,1.3998336202731383,-1.2005949659654864,-2.42883819031984,2.4443971502715995,0.2110887665665936,0.2751527276184764,0.05124332976134755,0.05017107525122099,0.41538443694873756,0.4609931611978696,0.17479660589303986,0.1444261863253059,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ruminococcus_gnavus,-0.4696527052109463,0.03289768144504855,-0.012348273413771614,-0.9921560814817729,0.8532674788296051,0.019445802718800302,0.01841392554531539,0.5376978959391857,-0.550416741365968,1.6917625834619263,-0.6705942947028526,-1.845192419339478,0.5865590316878297,0.10220311770721727,0.5081751151267494,0.07600488469159473,0.891265022175014,0.22350962190176488,0.8067797323220124,0.19331677193296923,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Longicatena_caecimuris,-2.6610411081655077,0.09684257137693528,-0.038590912258263624,0.3681841528864617,0.5732720016832091,0.010623400701976149,0.006607152445117517,0.22714725638722683,-4.641847326142403,9.115967108246304,-5.8407782443072165,1.6209051288684895,0.018845593129826414,0.002789724967654905,0.010000629463486333,0.20348418886514946,0.09586671287781263,0.01813321228975688,0.06500409151266116,0.36942417874905636,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Clostridium_symbiosum,2.865495522698025,-0.09149390401367805,-0.03859653409137743,0.8914875861915033,0.5417324983990349,0.011395980221967144,0.006901955157440676,0.23736757290740634,5.28950271797674,-8.028612039648188,-5.592116032479334,3.755726088749535,0.013182229397558113,0.004034695301360291,0.011294737219079037,0.03298650568734398,0.07344384950068092,0.023602967512957703,0.06776842331447422,0.11865903563845533,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_thermophilus,-1.6135083178707232,0.01714138411755871,0.028137062631429163,-0.7244689067467599,0.971030916460393,0.024337957354511257,0.017368713784003863,0.5473852626976469,-1.661644640267781,0.7043066050233423,1.6199853933538055,-1.3235082420312196,0.11733522566573185,0.49203252514659557,0.12606350806971117,0.20548529608569482,0.2745644280578125,0.7151280179149277,0.280941532269642,0.36942417874905636,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eggerthella_lenta,0.8818119981340321,-0.0033927265409301566,-0.017523957613307987,-1.2570261171442205,1.0243472684790984,0.0288790421508752,0.02008950201452169,0.59750869502395,0.8608525890280395,-0.11748057720215412,-0.8722942759178799,-2.1037787861711954,0.3975005174894922,0.907418001750182,0.39134880840912134,0.04562435897777291,0.6643937220895799,1,0.6733501556451059,0.14047500001051133,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Erysipelatoclostridium_ramosum,0.2267455383627372,0.015114341397362552,-0.023291008590677217,-0.9656864298358934,0.7022850882848864,0.017024302960429165,0.015414873648713948,0.41798177938163955,0.3228682228131781,0.8878097054836209,-1.5109438534139636,-2.3103553252118445,0.7507322999646926,0.3870320451529823,0.14916735902627185,0.03368299316271827,1,0.5880876530246614,0.3202345461249788,0.11865903563845533,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
