taxon,lfc_(Intercept),lfc_ALT,lfc_Age,lfc_Sexmale,se_(Intercept),se_ALT,se_Age,se_Sexmale,W_(Intercept),W_ALT,W_Age,W_Sexmale,p_(Intercept),p_ALT,p_Age,p_Sexmale,q_(Intercept),q_ALT,q_Age,q_Sexmale,diff_(Intercept),diff_ALT,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ALT,passed_ss_Age,passed_ss_Sexmale
Streptococcus_mitis,0.17043103038437177,-0.006472298415892167,-0.02173072499617831,0.40806166290927715,0.33336186501652687,0.0019181186762003179,0.008752559314273548,0.2593395966203936,0.5112493307413024,-3.374295082050614,-2.48278523068563,1.5734645546880155,0.6249031588820553,0.011850606802960616,0.04203829850901701,0.15961011752737267,0.9196687998641567,0.02254505684465678,0.15370252892359346,0.303648516271587,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_sanguinis,0.03659980804611171,0.0015160532431480638,-0.0222644709501298,0.06493633362058432,0.3740064445491374,0.0014754349561961202,0.00839270266497847,0.22985461773661933,0.09785876307621534,1.0275297035503776,-2.6528368558838866,0.2825104592633945,0.9252316714150554,0.3438002548596284,0.037884740835739686,0.7870447651704213,1,0.49660036813057434,0.14770937695171385,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,1.5760795351399697,0.005927611995312719,-0.04878005548096781,-1.113945426851232,0.2919941626032902,0.001876377459178832,0.007460805059443157,0.24685569183441677,5.39764055927812,3.159072267851079,-6.538175852648339,-4.512536934325309,0.03265175495227653,0.0872834859464455,0.022602942083511525,0.04576390804983531,0.11236045086518688,0.13989271035252224,0.11030565056133382,0.13090512953428934,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterocloster_clostridioformis,0.580566938400621,-0.0014702829448728556,-0.0426617381388206,1.0278922883355543,0.4118737744902767,0.0023742512753131928,0.01339298702295716,0.4374823966871419,1.409574909495304,-0.6192617269117429,-3.185378890138051,2.349562624963477,0.20833225297514588,0.5585090993247372,0.01894661436900304,0.05709256397372129,0.396339408099058,0.7598321467557472,0.10310483168248166,0.15010853898708745,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ruminococcus_gnavus,0.41942741047422494,0.004925083478213921,-0.018114893518833185,-0.7803537949238514,0.5617723719749829,0.002808145162157782,0.017548652503290015,0.5275621165820511,0.7466145211087438,1.753856440394798,-1.032266922798603,-1.4791695051562406,0.4617485054318765,0.09080150822884962,0.31110545985017446,0.1506685759565164,0.7400626730894458,0.14356454679426225,0.6016419636771969,0.2962726619649146,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Longicatena_caecimuris,-0.36067231063639976,0.013324918908644868,-0.0337407358341539,0.9318490434154786,0.3942251553509109,0.0014796419186729835,0.007982647399504581,0.23642267960883365,-0.91488913312839,9.005502439803353,-4.226760139280098,3.9414536919945355,0.4277127295391281,0.0028906589635980797,0.024220978770310278,0.029108399625644477,0.6998935574276642,0.006321628013850006,0.1133541806450521,0.10135515282802975,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Clostridium_symbiosum,1.4006980162293219,-0.02513073194360959,-0.04367709627907334,0.7773292668773424,0.30015907130141967,0.0017216592796180901,0.007914965235884615,0.23322038880311197,4.666519023250646,-14.596809160279527,-5.518292876518462,3.3330244875527373,0.01857720552234111,6.972802067447524e-4,0.011720781903859119,0.044618542001352755,0.08204133475906307,0.0017722228676951628,0.08246471298166866,0.1305092353539568,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_thermophilus,-1.1752305213721699,0.0031510287482903803,0.022023404444746413,-0.5510698025864595,0.5190502363464438,0.0038002783497714486,0.01655997991235107,0.5421715047660313,-2.264194174430072,0.8291573559289113,1.3299173405591218,-1.0164123303091486,0.03881416009776313,0.420014805607259,0.2034151160899155,0.32554808872652474,0.12497415129595363,0.5920690633258953,0.43668933178935987,0.5227297638737498,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eggerthella_lenta,1.2128378650477738,-0.01262253290617459,-0.02467367905355135,-0.9065291614534676,0.5553706146224444,0.0034726663673936785,0.01842267177211237,0.5987509934583097,2.183835142002054,-3.6348245327258755,-1.3393105711681599,-1.5140336656770625,0.038568605124627654,0.0012572126551822164,0.1925196307509558,0.14255865853357913,0.12497415129595363,0.003032863518686996,0.42102423921237064,0.2827010686174366,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Erysipelatoclostridium_ramosum,0.7642602357924771,-1.4602857815065932e-4,-0.03130877069939959,-0.7258898172322258,0.47204214634539,0.0021079713517492904,0.01534605954910658,0.42094678446182776,1.6190508447380738,-0.06927446050416111,-2.0401830580165012,-1.7244218129858426,0.12383771696547959,0.9455794957712942,0.05718103213089366,0.10276548899169648,0.2662541352482081,1,0.1884557960370298,0.2147064680719373,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
