"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Ruminococcus_bicirculans","Ruminococcus_bicirculans","T12","ALT",-0.107434112368035,2.49684814564129e-06,TRUE,"-"
"Alistipes_finegoldii","Alistipes_finegoldii","T12","ALT",-0.099451141217947,3.71063605497442e-05,TRUE,"-"
"Lentihominibacter_hominis","Lentihominibacter_hominis","T12","ALT",0.0982270998069303,0.0186635275619758,TRUE,"+"
"GGB9699_SGB15216","GGB9699_SGB15216","T12","ALT",0.0970202873933637,0.0201915271007731,TRUE,"+"
"Lacticaseibacillus_paracasei","Lacticaseibacillus_paracasei","T12","ALT",0.0941515241946087,0.000717194084525643,TRUE,"+"
"Enterocloster_aldenensis","Enterocloster_aldenensis","T12","ALT",0.0924018163591421,4.13189457460637e-05,TRUE,"+"
"Longicatena_caecimuris","Longicatena_caecimuris","T0","AST",1.0630495087664,0.0100563308899315,TRUE,"+"
"Alistipes_dispar","Alistipes_dispar","T0","AST",-0.442885640504911,0.0209502102717118,TRUE,"-"
"Zhenpiania_hominis","Zhenpiania_hominis","T0","AST",-0.438227307467974,0.0209502102717118,TRUE,"-"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","AST",0.400602941555534,0.0217121106072202,TRUE,"+"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","AST",0.395148959188374,0.0223003783797918,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","AST",0.288173608780549,0.0085771762038502,TRUE,"+"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","AST",0.251576401562627,0.0420784055325172,TRUE,"+"
"Bifidobacterium_animalis","Bifidobacterium_animalis","T0","AST",0.242576168282061,0.00317031314777029,TRUE,"+"
"Clostridium_spiroforme","Clostridium_spiroforme","T0","AST",-0.223397563571692,0.00259582974603317,TRUE,"-"
"Enterocloster_citroniae","Enterocloster_citroniae","T0","AST",0.189308094080463,0.0100563308899315,TRUE,"+"
"Hydrogeniiclostridium_mannosilyticum","Hydrogeniiclostridium_mannosilyticum","T0","AST",0.188474245401778,0.0209502102717118,TRUE,"+"
"GGB9715_SGB15265","GGB9715_SGB15265","T0","AST",-0.176283040514177,0.0120328110189149,TRUE,"-"
"Evtepia_gabavorous","Evtepia_gabavorous","T0","AST",0.154825315511981,0.0166591243184119,TRUE,"+"
"Schaalia_odontolytica","Schaalia_odontolytica","T0","AST",-0.128522026374031,0.00317031314777029,TRUE,"-"
"Clostridium_saudiense","Clostridium_saudiense","T0","AST",0.123440893349966,0.0202741826503927,TRUE,"+"
"Dysosmobacter_welbionis","Dysosmobacter_welbionis","T0","AST",-0.119843310064996,0.0118156538504674,TRUE,"-"
"Clostridium_leptum","Clostridium_leptum","T0","AST",-0.118524289008831,0.04531065653241,TRUE,"-"
"Clostridioides_difficile","Clostridioides_difficile","T0","AST",-0.110897989072248,0.0493025326469776,TRUE,"-"
"Roseburia_intestinalis","Roseburia_intestinalis","T0","AST",-0.105981772069844,0.0223003783797918,TRUE,"-"
"Eubacterium_ramulus","Eubacterium_ramulus","T0","AST",0.104001541313911,0.014731176446733,TRUE,"+"
"Roseburia_lenta","Roseburia_lenta","T12","AST",-5.6035298061769,0.00944760455116157,TRUE,"-"
"GGB9699_SGB15216","GGB9699_SGB15216","T12","AST",1.1965099030849,0.0284189462689266,TRUE,"+"
"Acidaminococcus_intestini","Acidaminococcus_intestini","T12","AST",0.498741253766272,0.000997158051277354,TRUE,"+"
"Clostridium_SGB6173","Clostridium_SGB6173","T12","AST",-0.217236108014665,0.000300165945325826,TRUE,"-"
"Oscillibacter_valericigenes","Oscillibacter_valericigenes","T12","AST",-0.215631426814996,0.0165066292228587,TRUE,"-"
