"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","GGT",0.794454826244924,1.81837927731712e-06,TRUE,"+"
"GGB9715_SGB15265","GGB9715_SGB15265","T0","GGT",-0.777025336558162,4.51438167551137e-11,TRUE,"-"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","GGT",0.668247650186003,3.76432593694957e-06,TRUE,"+"
"Bifidobacterium_animalis","Bifidobacterium_animalis","T0","GGT",0.630324746278886,3.19856534102275e-14,TRUE,"+"
"GGB9730_SGB15291","GGB9730_SGB15291","T12","GGT",0.577119104071795,0.00406669252881955,TRUE,"+"
"Gordonibacter_pamelaeae","Gordonibacter_pamelaeae","T12","GGT",0.496679915448128,0.00460967159690375,TRUE,"+"
"Limosilactobacillus_reuteri","Limosilactobacillus_reuteri","T0","GGT",0.464410442372241,0.00162537163988644,TRUE,"+"
"Roseburia_lenta","Roseburia_lenta","T12","GGT",0.4540620045682,0.00539795615160242,TRUE,"+"
"Clostridium_sp_AM22_11AC","Clostridium_sp_AM22_11AC","T12","GGT",-0.426480458717004,0.00533719568061526,TRUE,"-"
"Actinomyces_naeslundii","Actinomyces_naeslundii","T12","GGT",0.386581882169246,7.60150577873206e-05,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","GGT",0.385865081281614,3.35113429687235e-09,TRUE,"+"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","GGT",0.367945423647763,7.34553539081674e-06,TRUE,"+"
"Massilimicrobiota_timonensis","Massilimicrobiota_timonensis","T0","GGT",0.36637234438557,0.00219336554007893,TRUE,"+"
"Clostridium_SGB6179","Clostridium_SGB6179","T0","GGT",-0.36467056024785,0.00198048600396513,TRUE,"-"
"Intestinimonas_massiliensis","Intestinimonas_massiliensis","T0","GGT",0.330523606695153,0.00218799915590172,TRUE,"+"
"Acidaminococcus_intestini","Acidaminococcus_intestini","T12","GGT",-0.315748881673249,5.51454432678654e-06,TRUE,"-"
"Veillonella_atypica","Veillonella_atypica","T12","Elastase",-7.88303607708215,0.0430781432122519,TRUE,"-"
"Veillonella_rogosae","Veillonella_rogosae","T0","Elastase",-6.62931623795383,6.08550209317388e-07,TRUE,"-"
"Bacteroides_caccae","Bacteroides_caccae","T0","Elastase",4.21979730498497,0.0065540022354588,TRUE,"+"
"Streptococcus_intermedius","Streptococcus_intermedius","T0","Elastase",-2.05479255130037,0.00225229353532806,TRUE,"-"
"Veillonella_atypica","Veillonella_atypica","T0","Elastase",-1.38432918362827,6.08550209317388e-07,TRUE,"-"
"GGB3653_SGB4964","GGB3653_SGB4964","T12","Elastase",-1.16458416843186,0.0188901928693927,TRUE,"-"
"TM7_phylum_sp_oral_taxon_352","TM7_phylum_sp_oral_taxon_352","T0","Elastase",1.12307039478123,0.0166344483962075,TRUE,"+"
"Streptococcus_mutans","Streptococcus_mutans","T0","Elastase",-1.0058357762319,0.00328497905059142,TRUE,"-"
"Actinomyces_gerencseriae","Actinomyces_gerencseriae","T0","Elastase",0.326550465641156,0.00314679074985879,TRUE,"+"
"Actinomyces_sp_ICM47","Actinomyces_sp_ICM47","T0","Elastase",0.300690111367594,1.17319003651732e-05,TRUE,"+"
"bacterium_210917_SL_2_15","bacterium_210917_SL_2_15","T0","Elastase",-0.266813430573654,0.00329979605048606,TRUE,"-"
"Actinomyces_naeslundii","Actinomyces_naeslundii","T0","Elastase",0.248100124419566,0.0102909569879873,TRUE,"+"
"Eubacterium_brachy","Eubacterium_brachy","T0","Elastase",-0.208541344463689,0.0135311936264757,TRUE,"-"
"Streptococcus_gordonii","Streptococcus_gordonii","T0","Elastase",0.18651334745219,0.000495344019098675,TRUE,"+"
"Hydrogeniiclostridium_mannosilyticum","Hydrogeniiclostridium_mannosilyticum","T0","Elastase",0.161643039894359,0.0210377572131241,TRUE,"+"
"Faecalibacterium_sp_CLA_AA_H233","Faecalibacterium_sp_CLA_AA_H233","T0","Elastase",0.150937671167308,8.01668827927451e-05,TRUE,"+"
"Longicatena_caecimuris","Longicatena_caecimuris","T0","Elastase",0.147987166112425,0.000101866733968405,TRUE,"+"
"Schaalia_meyeri","Schaalia_meyeri","T0","Elastase",0.144418935172246,0.000477015311638156,TRUE,"+"
"Oscillospiraceae_bacterium_CLA_AA_H250","Oscillospiraceae_bacterium_CLA_AA_H250","T0","Elastase",-0.12517847624413,3.33929369819093e-05,TRUE,"-"
"Mediterraneibacter_faecis","Mediterraneibacter_faecis","T0","Elastase",-0.107337470779772,1.60289447916983e-05,TRUE,"-"
