"taxon","var","n","rho","p","p_fdr"
"Clostridium_SGB6179_delta","SD_z_score_BMI_Carrascosa2010_delta",9,0.728918266392371,0.0258835971695602,0.0776507915086806
"Adlercreutzia_equolifaciens_delta","SD_z_score_BMI_Carrascosa2010_delta",9,0.389886514581966,0.299588758586314,0.449383137879471
"Flavonifractor_plautii_delta","SD_z_score_BMI_Carrascosa2010_delta",9,-0.067806350362081,0.862394191836714,0.862394191836714
