group,n,shapiro_p,test,stat,p_value,mean_delta,median_delta
only_Sau (ALL),15,4.947021482767482e-5,Wilcoxon signed-rank,38.5,0.23279063242471523,-595035.3333333334,40
only_Sau (UP),8,4.942189306811143e-6,Wilcoxon signed-rank,36,0.014266186701446927,20733.75,3745
only_Sau (DOWN),7,0.1170716909110304,paired t-test,-2.5197983811235938,0.045299431257800525,-1298771.4285714286,-788000
