"variable","method","n_pairs","shapiro_p","stat","p_value","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","p_fdr"
"Weight_kg","wilcoxon_paired",21,0.01412525675300605,18,0.003143615231231256,"59.000 [51.000-71.000]","64.000 [56.000-75.000]",61.23809523809524,10.71403174302168,59,51,71,46,80,34,64.9047619047619,11.246798486257154,64,56,75,47,86,39,2,NA,NA,"rank_biserial_r",0.922077922077922,0.006477881398518362
"Height_cm","wilcoxon_paired",21,2.4396037466590687e-7,1.5,0.41421617824252505,"168.000 [160.000-172.000]","168.000 [160.000-171.000]",167.57142857142858,8.623058787758719,168,160,172,153,183,30,167.66666666666666,8.708233651742088,168,160,171,154,185,31,0,NA,NA,"rank_biserial_r",0.9935064935064936,0.41421617824252505
"BMI_kgm2","wilcoxon_paired",21,0.0026903265085425772,20,0.004318587599012241,"21.900 [19.800-23.000]","22.700 [21.400-23.800]",21.776190476190475,3.104658558022889,21.9,19.8,23,16.2,28.5,12.3,23.03333333333333,3.388854280333301,22.7,21.4,23.8,16.7,30.1,13.400000000000002,0.6999999999999993,NA,NA,"rank_biserial_r",0.9134199134199135,0.006477881398518362
