SampleID,Axis1,Axis2,Group
A1H0,0.18860540467079343,-0.2194814891664407,T0
A1H12,-0.05272965483050448,-0.29512480217165166,T12
A3H0,-0.13990150027615206,-0.07335320253089078,T0
A3H12,0.08272278644323156,-0.09094238642132453,T12
A4H0,-0.3170593894931903,-0.10728631029123659,T0
A4H12,-0.2683802829964807,0.09832217462604512,T12
A6H0,-0.12972934255478757,0.252474972242953,T0
A6H12,0.1624190866599442,0.2627147823032163,T12
A7H0,-0.16823387539651868,0.06927879285425412,T0
A7H12,-0.26401940955297926,-0.1417439234579333,T12
A8H0,-0.13493769175799794,-0.014666823542790707,T0
A8H12,-0.05005023743635994,-0.10633482553171009,T12
A9H0,-0.0975100957908364,0.18438210124421872,T0
A9H12,0.0895644117700493,0.21424191902945525,T12
A10H0,-0.10358709462841384,0.32461485735521894,T0
A10H12,0.21481676055885804,-0.04029403615714183,T12
A12H0,0.09535046125222767,0.20618866698572794,T0
A12H12,-0.14335706528495853,0.03058713739013156,T12
A13H0,0.06984509613345818,0.13688319573179042,T0
A13H12,0.32491634401801445,-0.07109326418136762,T12
A16H0,-0.022103658616292824,0.20236112181712346,T0
A16H12,0.07457755890958669,-0.029328940462375327,T12
A17H0,-0.06760716167379696,0.04425239724234434,T0
A17H12,0.08470235669678572,-0.01258133601196445,T12
A19H0,-0.0963876024495087,0.3109692708544371,T0
A19H12,0.06548762816734051,0.2964763408436257,T12
A20H0,-0.22235982274894092,-0.13787155972682896,T0
A20H12,0.12617477545856948,-0.019438632285216556,T12
A22H0,-0.2188472335112595,-0.04472021258100255,T0
A22H12,-0.29488540186996237,-0.2049409693175741,T12
A24H0,0.020349913704055058,-0.18964157562447775,T0
A24H12,0.20633358879929548,-0.10305728809512527,T12
A25H0,-0.037197403658902894,0.2926041402519405,T0
A25H12,0.22810752928072406,0.07541746791659426,T12
A26H0,-0.30170655211970543,-0.06828845771496928,T0
A26H12,0.36260720775172156,-0.07184176920798727,T12
A27H0,-0.06973092154933509,0.28523319423998733,T0
A27H12,0.1074151638790442,0.3357298150458985,T12
A28H0,-0.14109252680271378,0.20558384267998792,T0
A28H12,0.016498631106195556,-0.18564089671405445,T12
A30H0,-0.2482869934466739,0.11256898084738322,T0
A30H12,0.15574183920090728,0.08680588250435717,T12
P2H0,-0.10879454229442809,0.03888784909621237,T0
P2H12,0.28967729291287087,-0.29570293005818854,T12
P4H0,-0.3030173410994797,-0.1332818750008913,T0
P4H12,-0.19149072624495703,-0.09834528066930902,T12
P5H0,0.17319029910408326,0.2957550632666537,T0
P5H12,0.1525085612393559,0.06925410878451092,T12
P11H0,0.12906657252067366,0.14627259200947362,T0
P11H12,-0.2204520176189171,0.016726363294996223,T12
P14H0,-0.21153058211944054,-0.2631394127081021,T0
P14H12,0.16175088496297646,-0.20575173245430844,T12
P16H0,0.26831779190000776,-0.2801043245572999,T0
P16H12,0.20565322739409617,-0.15601978352530033,T12
P17H0,0.3491336282920492,-0.14348335590664665,T0
P17H12,0.12122291055063064,-0.20822330748456397,T12
P20H0,0.2244077340008041,0.06306361814403388,T0
P20H12,-0.12785327383005687,0.24732298278853243,T12
P21H0,-0.20247080470514214,-0.08814476596418916,T0
P21H12,0.06363634642729647,-0.07235536351019022,T12
P25H0,0.23520034300673465,0.009221245212822936,T0
P25H12,-0.2060345278100701,-0.2501456245358776,T12
P26H0,0.06575061623161975,-0.25038757336191464,T0
P26H12,-0.07547964622535004,-0.17073896758970375,T12
P27H0,-0.04769473159124273,-0.09738189790026446,T0
P27H12,-0.23412890428761438,-0.11442559571636854,T12
P42H0,0.17096127679387013,0.11367517055345946,T0
P42H12,0.23193398647509775,0.02743444497979416,T12
