SampleID,Axis1,Axis2,Group
A1E0,0.15107634375131862,0.04940239492651417,T0
A1E12,0.10850550824682785,-0.02678178379704637,T12
A3E0,0.053969751083955624,0.22649250716290237,T0
A3E12,0.3157481025271575,0.07588934306048829,T12
A4E0,-0.1605434682535927,-0.23820745944417704,T0
A4E12,-0.1591994173065266,-0.24081458903725786,T12
A6E0,-0.2667757094137811,0.4279499273312505,T0
A6E12,0.2649915161919158,0.1677122844684633,T12
A7E0,-0.5266807476315862,0.33183086679421797,T0
A7E12,-0.36740281906624656,0.39230098100020677,T12
A8E0,0.26123746650190494,0.04904045940377096,T0
A8E12,-0.1789943274036012,-0.3142651198925502,T12
A9E0,-0.10994382885506872,0.15890549021036435,T0
A9E12,-0.5372342767907874,0.33560159958277813,T12
A10E0,-0.17369428712823679,-0.41175013289564816,T0
A10E12,0.026809839654203162,-0.04790851443190288,T12
A13E0,0.024584889797503173,-0.32176539476750426,T0
A13E12,0.2077757696847023,-0.027278175181654634,T12
A16E0,0.16311923375560575,0.004100658034235121,T0
A16E12,-0.007974604955964689,-0.14426532834525632,T12
A17E0,-0.1668712496107221,-0.22990341126249078,T0
A17E12,-0.15510194717376072,-0.24212050060649404,T12
A19E0,-0.5287252870947086,0.32799239003644737,T0
A19E12,0.001346482217057379,0.21784278697381337,T12
A22E0,0.07591185128801878,-0.09790886892262526,T0
A22E12,0.3246425651184639,0.047882301067896565,T12
A24E0,-0.1319096671954364,-0.1913465309154186,T0
A24E12,0.1526477034260274,-0.02113008957427416,T12
A25E0,-0.10472911305103236,0.3633013130075675,T0
A25E12,0.2863839788805852,0.1193046321543704,T12
A27E0,0.10616058561890762,0.14965148594993521,T0
A27E12,0.24829589116695275,0.17135466481857314,T12
A28E0,-0.1821310422937862,-0.2955406932362179,T0
A28E12,-0.18904688864311964,-0.3002809116975232,T12
A30E0,-0.155249187165057,-0.3685292396033559,T0
A30E12,0.2293074110183053,0.04230168756075463,T12
P2E0,-0.1384086770295728,-0.1899515413691839,T0
P2E12,-0.15716888567146262,-0.30066747284442596,T12
P3E0,-0.4485748959315812,0.37133697064829485,T0
P3E12,-0.5125116828212701,0.3496639077002575,T12
P4E0,0.25114578282281347,0.07689588905215694,T0
P4E12,0.27009731112096413,0.09992633608801504,T12
P5E0,0.20580758514126724,0.07748015813879666,T0
P5E12,0.24109200480592155,0.07076981403179208,T12
P11E0,0.1266076930833354,0.03721678444229051,T0
P11E12,0.31565801670595744,0.10984174997298263,T12
P14E0,0.1625221880853622,-0.01979595096198263,T0
P14E12,0.3352318082851865,0.12498343583208282,T12
P17E0,-0.13351620453211047,-0.19108153014239798,T0
P17E12,0.244887954228257,0.1097754958596715,T12
P20E0,0.24921644232749127,0.0765108458309738,T0
P20E12,0.2946775393672261,0.05399371898476536,T12
P25E0,-0.043052204060848046,-0.3029653177903898,T0
P25E12,-0.19294112420797824,-0.32427583484705436,T12
P26E0,-0.29678987955201175,0.05117435186925957,T0
P26E12,-0.19297869881236177,-0.3243584970490754,T12
P27E0,0.2087555060924052,0.024970217898394372,T0
P27E12,0.135980782076081,0.009014146665861332,T12
P42E0,0.3289658018190456,0.11261523248185665,T0
P42E12,-0.15501118423851465,-0.2421339404260951,T12
