SampleType,Rank,Taxon,n_paired,detected_T0_n,detected_T12_n,detected_T0_percent,detected_T12_percent,detected_T0_only_n,detected_T12_only_n,detected_both_n,not_detected_n,increased_n,decreased_n,stable_n,median_T0_all,Q1_T0_all,Q3_T0_all,median_T12_all,Q1_T12_all,Q3_T12_all,median_delta_all,Q1_delta_all,Q3_delta_all,median_T0_among_T0_detected,median_T12_among_T0_detected,median_delta_among_T0_detected,patients_detected_T0_only,patients_detected_T12_only,patients_with_decrease,patients_with_increase
sputum,Species,Rothia_mucilaginosa,30,21,19,70,63.33333333333333,6,4,15,5,13,12,5,2.00473020047302,0,6.809121201043731,1.358647760379152,0,5.628054757521797,0,-2.0233191061693345,3.6260946922157062,6.069283196484346,4.222426729635926,-0.5949962050595402,A16; A17; A28; A9; P25; P42,A24; A30; A7; P17,A1; A13; A16; A17; A27; A28; A8; A9; P25; P27; P4; P42,A19; A22; A24; A25; A3; A30; A6; A7; P11; P14; P17; P20; P5
sputum,Species,Streptococcus_mitis,30,16,20,53.333333333333336,66.66666666666666,2,6,14,8,13,9,8,0.3624375497760539,0,3.800073670977678,0.6482325986344757,0,6.752674029910036,0,-0.26032704990901095,3.4309689827063448,3.6321669451573166,1.7854198617070138,-0.2239344303279227,P3; P42,A10; A19; A22; A24; A30; P17,A1; A16; A3; A8; P20; P3; P4; P42; P5,A10; A19; A22; A24; A25; A27; A30; A6; A7; P11; P14; P17; P27
sputum,Species,Pseudomonas_aeruginosa,30,14,7,46.666666666666664,23.333333333333332,7,0,7,16,1,13,16,0,0,10.426570714152911,0,0,0,0,-4.575299423257229,0,15.333567497231442,0.09855722151774779,-12.267516761600023,A17; A25; A3; A4; P11; P20; P26,,A1; A17; A19; A25; A27; A3; A4; A6; A7; P11; P20; P26; P3,A9
sputum,Species,Porphyromonas_bobii,30,11,17,36.666666666666664,56.666666666666664,2,8,9,11,12,7,11,0,0,1.240903276341551,0.17993866615463208,0,2.7104132595972943,0,0,1.3092911210520004,3.71436,1.7274856033686246,-2.3776202377620237,P3; P42,A1; A13; A22; A27; A30; A7; P17; P5,A16; A25; A8; P20; P27; P3; P42,A1; A13; A22; A27; A3; A30; A7; P11; P14; P17; P4; P5
sputum,Species,Staphylococcus_aureus,30,8,0,26.666666666666668,0,8,0,0,22,0,8,22,0,0,0.013137128047035602,0,0,0,0,-0.013137128047035602,0,26.24970971504406,0,-26.24970971504406,A10; A13; A16; A30; A8; P25; P26; P4,,A10; A13; A16; A30; A8; P25; P26; P4,
sputum,Species,Achromobacter_xylosoxidans,30,3,1,10,3.3333333333333335,2,0,1,27,1,2,27,0,0,0,0,0,0,0,0,0,87.83561645481377,0,-7.151513063749494e-4,A17; A8,,A17; A8,A28
sputum,Species,Stenotrophomonas_maltophilia,30,1,1,3.3333333333333335,3.3333333333333335,0,0,1,29,0,1,29,0,0,0,0,0,0,0,0,0,95.03331950333195,90.22601,-4.80730950333195,,,A4,
sputum,Species,Burkholderia_contaminans,30,0,5,0,16.666666666666664,0,5,0,25,5,0,25,0,0,0,0,0,0,0,0,0,NA,NA,NA,,A13; A17; A22; A30; P42,,A13; A17; A22; A30; P42
sputum,Species,Moraxella_catarrhalis,30,0,3,0,10,0,3,0,27,3,0,27,0,0,0,0,0,0,0,0,0,NA,NA,NA,,A8; P25; P26,,A8; P25; P26
