"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Abiotrophia_defectiva","T0",30,23.333333333333332,9.862672276975486e-4,0.002938951809285634,0,0,0.029588016830926458
"Abiotrophia_defectiva","T12",30,10,6.844190957361108e-5,2.5898436218992977e-4,0,0,0.002053257287208333
"Abiotrophia_sp_HMSC24B09","T0",30,13.333333333333334,0.0013057342423458192,0.005607474024908231,0,0,0.039172027270374575
"Abiotrophia_sp_HMSC24B09","T12",30,10,2.2286522793551266e-4,7.662434432986684e-4,0,0,0.00668595683806538
"Achromobacter_xylosoxidans","T0",30,10,0.06157862397205538,0.23464601623927697,0,0,1.8473587191616614
"Achromobacter_xylosoxidans","T12",30,3.3333333333333335,0.03333333333333333,0.18257418583505536,0,0,1
"Acidaminococcus_SGB5735","T0",30,0,0,0,0,0,0
"Acidaminococcus_SGB5735","T12",30,0,0,0,0,0,0
"Acidaminococcus_intestini","T0",30,0,0,0,0,0,0
"Acidaminococcus_intestini","T12",30,0,0,0,0,0,0
"Actinobaculum_sp_oral_taxon_183","T0",30,3.3333333333333335,1.3604769048591772e-5,7.451638897561812e-5,0,0,4.0814307145775315e-4
"Actinobaculum_sp_oral_taxon_183","T12",30,3.3333333333333335,1.7800328472956353e-5,9.749641435639683e-5,0,0,5.340098541886906e-4
"Actinomyces_SGB17132","T0",30,10,0.001155696938165982,0.005470850594276952,0,0,0.03467090814497946
"Actinomyces_SGB17132","T12",30,33.33333333333333,9.362971382065194e-4,0.00192040384120962,0,7.715682696207229e-4,0.02808891414619558
"Actinomyces_bouchesdurhonensis","T0",30,0,0,0,0,0,0
"Actinomyces_bouchesdurhonensis","T12",30,0,0,0,0,0,0
"Actinomyces_dentalis","T0",30,0,0,0,0,0,0
"Actinomyces_dentalis","T12",30,3.3333333333333335,6.731325009063708e-5,3.6868985493628594e-4,0,0,0.0020193975027191125
"Actinomyces_gerencseriae","T0",30,3.3333333333333335,1.952570369722896e-5,1.0694668366134324e-4,0,0,5.857711109168688e-4
"Actinomyces_gerencseriae","T12",30,3.3333333333333335,1.5679495731231999e-6,8.588013502301726e-6,0,0,4.7038487193695996e-5
"Actinomyces_graevenitzii","T0",30,13.333333333333334,8.45070094062356e-4,0.0029432989090131213,0,0,0.025352102821870677
"Actinomyces_graevenitzii","T12",30,50,0.006551478407235263,0.010278964850519042,1.1690467631711351e-4,0.0099360244867626,0.1965443522170579
"Actinomyces_johnsonii","T0",30,0,0,0,0,0,0
"Actinomyces_johnsonii","T12",30,3.3333333333333335,7.0911783919958906e-6,3.8839983645893604e-5,0,0,2.127353517598767e-4
"Actinomyces_massiliensis","T0",30,3.3333333333333335,1.152971636662712e-5,6.315085735638178e-5,0,0,3.458914909988136e-4
"Actinomyces_massiliensis","T12",30,3.3333333333333335,1.1336444010409028e-5,6.209226106395355e-5,0,0,3.400933203122708e-4
"Actinomyces_naeslundii","T0",30,13.333333333333334,2.3685638363109718e-4,7.452917736426645e-4,0,0,0.007105691508932915
"Actinomyces_naeslundii","T12",30,10,3.2044580419263966e-4,0.0012173965798046172,0,0,0.00961337412577919
"Actinomyces_oris","T0",30,23.333333333333332,8.887237495540132e-4,0.0029557957601000964,0,0,0.026661712486620394
"Actinomyces_oris","T12",30,26.666666666666668,0.0016360203820734386,0.005005391989204938,0,1.140173546731893e-4,0.04908061146220316
"Actinomyces_radicidentis","T0",30,0,0,0,0,0,0
"Actinomyces_radicidentis","T12",30,0,0,0,0,0,0
"Actinomyces_sp_ICM47","T0",30,13.333333333333334,0.004422309012696211,0.015005040639914376,0,0,0.13266927038088633
"Actinomyces_sp_ICM47","T12",30,30,0.011707003605214773,0.03188671469053348,0,0.00353386906009392,0.3512101081564432
"Actinomyces_sp_oral_taxon_448","T0",30,6.666666666666667,5.431757857161998e-4,0.0024621657469236368,0,0,0.016295273571485996
"Actinomyces_sp_oral_taxon_448","T12",30,0,0,0,0,0,0
"Actinomyces_sp_ph3","T0",30,33.33333333333333,0.001823122592450974,0.004492159539886504,0,8.379578486641033e-4,0.05469367777352922
"Actinomyces_sp_ph3","T12",30,16.666666666666664,4.846602686504129e-4,0.0015614242261244387,0,0,0.014539808059512386
"Adlercreutzia_equolifaciens","T0",30,0,0,0,0,0,0
"Adlercreutzia_equolifaciens","T12",30,0,0,0,0,0,0
"Agathobaculum_butyriciproducens","T0",30,0,0,0,0,0,0
"Agathobaculum_butyriciproducens","T12",30,0,0,0,0,0,0
"Aggregatibacter_aphrophilus","T0",30,3.3333333333333335,2.1993085057645393e-4,0.0012046108795202189,0,0,0.006597925517293618
"Aggregatibacter_aphrophilus","T12",30,3.3333333333333335,2.2266668893333556e-6,1.2195956833377381e-5,0,0,6.680000668000067e-5
"Aggregatibacter_segnis","T0",30,3.3333333333333335,3.180912430326888e-5,1.7422574915386163e-4,0,0,9.542737290980663e-4
"Aggregatibacter_segnis","T12",30,10,1.8065819986677007e-4,8.593849342041149e-4,0,0,0.005419745996003102
