FeatureID,n_pairs,p,padj,p_signif,padj_signif,n_T0,n_T12,n_zero_T0,n_zero_T12,pct_zero_T0,pct_zero_T12
Flavonifractor_plautii,9,0.036031686218233556,0.05917206782585943,*,ns,9,9,3,8,33.333333333333336,88.88888888888889
Adlercreutzia_equolifaciens,9,0.05917206782585943,0.05917206782585943,ns,ns,9,9,8,4,88.88888888888889,44.44444444444444
Clostridium_SGB6179,9,0.05917206782585943,0.05917206782585943,ns,ns,9,9,7,3,77.77777777777777,33.333333333333336
