"featureID","var","group1","group2","effect","se","padj"
"Adlercreutzia_equolifaciens","Time","T0","T12",5.96137200584838,0.291017668000695,0.00797167889443235
"Clostridium_SGB6179","Time","T0","T12",2.70799331539312,0.307102092330767,0.0267096726588515
"Flavonifractor_plautii","Time","T0","T12",-4.44689183561039,0.384590463600461,0.0179982062801644
