"term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Time",2199.21433270677,2199.21433270677,1,33.0000001073732,33.0442194054892,2.02448757550958e-06
"Sex",47.2014686471092,47.2014686471092,1,32.9999997002234,0.709224045623917,0.405763677528085
"Time:Sex",0.0714755639097658,0.0714755639097658,1,33.0000001073732,0.00107395363009408,0.974054434811618
