"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Actinobacteria","T0",30,80,0.1359086302507405,0.13212069027347245,0.11043379970391111,0.17256196743295252,4.077258907522214
"Actinobacteria","T12",30,70,0.12637894170127825,0.1449393347325375,0.10050087981756853,0.21943023353694666,3.7913682510383477
"Bacillota","T0",30,0,0,0,0,0,0
"Bacillota","T12",30,0,0,0,0,0,0
"Bacteria_unclassified","T0",30,0,0,0,0,0,0
"Bacteria_unclassified","T12",30,0,0,0,0,0,0
"Bacteroidota","T0",30,56.666666666666664,0.09001607816701843,0.1250115967576403,0.04293279746504111,0.14585160065431477,2.7004823450105526
"Bacteroidota","T12",30,66.66666666666666,0.1301001527287791,0.1489866773291138,0.06446695955031795,0.2536951962145295,3.9030045818633727
"Candidatus_Absconditabacteria","T0",30,3.3333333333333335,1.0851497756825522e-5,5.943610104130048e-5,0,0,3.255449327047657e-4
"Candidatus_Absconditabacteria","T12",30,6.666666666666667,4.441444979551404e-4,0.001977264756243993,0,0,0.01332433493865421
"Candidatus_Saccharibacteria","T0",30,36.666666666666664,0.008534252487894228,0.02269105373805998,0,0.003455300064422506,0.2560275746368268
"Candidatus_Saccharibacteria","T12",30,43.333333333333336,0.014647874004774821,0.02354266380074735,0,0.021386231004508326,0.4394362201432446
"Firmicutes","T0",30,90,0.32969609863531485,0.28982091598932846,0.3267409302590318,0.44128413356027085,9.890882959059446
"Firmicutes","T12",30,76.66666666666667,0.23953782307910146,0.1884085003355638,0.2397587891851971,0.3371189516730599,7.186134692373043
"Fusobacteria","T0",30,33.33333333333333,0.005044609961594815,0.010650243538169011,0,0.0024454004331575813,0.15133829884784447
"Fusobacteria","T12",30,46.666666666666664,0.026946385900983836,0.07166513074853682,0,0.015205395886342673,0.808391577029515
"Proteobacteria","T0",30,80,0.32122439067385494,0.3694678406464653,0.1489198332035001,0.6362303176709149,9.636731720215648
"Proteobacteria","T12",30,86.66666666666667,0.3422933646713898,0.4092425466579357,0.0935502050267581,0.7042532747639635,10.268800940141695
"Spirochaetes","T0",30,13.333333333333334,6.777640677595846e-4,0.002539595197451264,0,0,0.020332922032787536
"Spirochaetes","T12",30,30,0.002575153969996307,0.0072536314580984,0,5.726542722429184e-4,0.07725461909988922
"Synergistetes","T0",30,0,0,0,0,0,0
"Synergistetes","T12",30,0,0,0,0,0,0
"Tenericutes","T0",30,20,0.0016062105073584437,0.006249967416183065,0,0,0.04818631522075331
"Tenericutes","T12",30,13.333333333333334,0.0014584275542162974,0.004865804003594085,0,0,0.04375282662648892
"UNCLASSIFIED","T0",30,76.66666666666667,0.10728111375070742,0.15010856976819886,0.0454099481026211,0.17427763946428118,3.2184334125212226
"UNCLASSIFIED","T12",30,56.666666666666664,0.11561773189152495,0.1378846171149364,0.06365034334584577,0.18936161315080116,3.4685319567457484
"Verrucomicrobia","T0",30,0,0,0,0,0,0
"Verrucomicrobia","T12",30,0,0,0,0,0,0
