Time,Category,Identifications
Time 0,Microbial peptides,837848
Time 0,Human peptides,105104
Time 0,Microbial proteins,223307
Time 0,Human proteins,9564
Time 12,Microbial peptides,812153
Time 12,Human peptides,95948
Time 12,Microbial proteins,229150
Time 12,Human proteins,8571
