#queryIndex	queryItem	stringId	preferredName	annotation
1	PERM_HUMAN	9606.ENSP00000225275	MPO	Myeloperoxidase heavy chain; Part of the host defense system of polymorphonuclear leukocytes. It is responsible for microbicidal activity against a wide range of organisms. In the stimulated PMN, MPO catalyzes the production of hypohalous acids, primarily hypochlorous acid in physiologic situations, and other toxic intermediates that greatly enhance PMN microbicidal activity; Belongs to the peroxidase family. XPO subfamily.
2	CATG_HUMAN	9606.ENSP00000216336	CTSG	Cathepsin G; Serine protease with trypsin- and chymotrypsin-like specificity. Cleaves complement C3. Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, antibacterial activity is inhibited by LPS from P.aeruginosa, Z-Gly-Leu-Phe-CH2Cl and phenylmethylsulfonyl fluoride.
3	PERE_HUMAN	9606.ENSP00000225371	EPX	Eosinophil peroxidase heavy chain; Mediates tyrosine nitration of secondary granule proteins in mature resting eosinophils. Shows significant inhibitory activity towards Mycobacterium tuberculosis H37Rv by inducing bacterial fragmentation and lysis; Belongs to the peroxidase family. XPO subfamily.
4	CAP7_HUMAN	9606.ENSP00000233997	AZU1	Azurocidin; This is a neutrophil granule-derived antibacterial and monocyte- and fibroblast-specific chemotactic glycoprotein. Binds heparin. The cytotoxic action is limited to many species of Gram- negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope. It may play a role in mediating recruitment of monocytes in the second wave of inflammation. Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, this  [...] 
5	PRTN3_HUMAN	9606.ENSP00000234347	PRTN3	Myeloblastin; Serine protease that degrades elastin, fibronectin, laminin, vitronectin, and collagen types I, III, and IV (in vitro). By cleaving and activating receptor F2RL1/PAR-2, enhances endothelial cell barrier function and thus vascular integrity during neutrophil transendothelial migration. May play a role in neutrophil transendothelial migration, probably when associated with CD177. Belongs to the peptidase S1 family. Elastase subfamily.
6	ITLN2_HUMAN	9606.ENSP00000357008	ITLN2	Intelectin-2; May play a role in the defense system against pathogens.
7	PRRC1_HUMAN	9606.ENSP00000421965	PRRC1	Protein PRRC1; Proline rich coiled-coil 1.
8	RETN_HUMAN	9606.ENSP00000221515	RETN	Resistin; Hormone that seems to suppress insulin ability to stimulate glucose uptake into adipose cells (By similarity). Potentially links obesity to diabetes (By similarity). Promotes chemotaxis in myeloid cells.
