"var","n","rho","p","p_fdr"
"fat_g_1000kcal_delta",9,-0.9166666666666666,5.066190663052066e-4,0.0020264762652208263
"CH_g_1000kcal_delta",9,0.5166666666666667,0.1543901209862251,0.3087802419724502
"Ingestion_kcalday_delta",9,0.36666666666666664,0.3317398014330152,0.44231973524402024
"protein_g_1000kcal_delta",9,0.06666666666666667,0.8646897846262037,0.8646897846262037
