contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
T3 - T0,19.40000000000001,4.094295189841929,14.000017561189416,7.673965152254997,31.12603484774502,4.738300269148156,0.0012695040495970455
T6 - T0,18.89746665251668,4.404050306579288,14.014836555257974,6.286222591201861,31.508710713831498,4.2909288806909,0.0013033604187073543
T9 - T0,17.278823053220766,4.404050306579288,14.01483655525799,4.667578991905952,29.89006711453558,3.9233936604692343,0.0015268318455178705
T12 - T0,17.000000000000007,4.0942951898419295,14.00001756118941,5.273965152254991,28.726034847745023,4.152118792552506,0.0013033604187073543
