Time,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value
T0,66.00000000000037,10.843927529415138,4.47679686580456,37.1158403925066,94.88415960749414,6.086355688100033,0.0025358891684442667
T3,85.40000000000038,10.843927529415136,4.4767968658045545,56.515840392506604,114.28415960749415,7.875375390359732,8.704229119808228e-4
T6,84.89746665251705,10.964632700848933,4.6731934219186195,56.10868171188907,113.68625159314504,7.742846383348883,7.75964565322276e-4
T9,83.27882305322113,10.964632700848933,4.6731934219186195,54.49003811259315,112.06760799384912,7.595222323021664,8.442262145069403e-4
T12,83.00000000000037,10.843927529415135,4.476796865804555,54.1158403925066,111.88415960749414,7.654053365337915,9.815292733542428e-4
