effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),66.00000000000037,10.843927529415168,6.086355688100016,4.462220400541555,0.002564025383209604,37.08338658641948,94.91661341358126
fixed,TimeT3,19.40000000000001,4.094295189841929,4.738300269148156,13.986503416635424,3.181988988610937e-4,10.617815133319414,28.182184866680604
fixed,TimeT6,18.89746665251668,4.402555990801609,4.292385307989204,14.001358177563224,7.44275383319881e-4,9.455009101714472,28.339924203318887
fixed,TimeT9,17.278823053220766,4.402555990801608,3.924725338944451,14.001358176935204,0.0015254414878830185,7.8363655023788255,26.721280604062706
fixed,TimeT12,17.000000000000007,4.094295189841929,4.152118792552507,13.9865034167538,9.794279122990628e-4,8.217815133326393,25.78218486667362
