"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"1","KV37_HUMAN",0.871207794174552,0.925929564876263,9.17800920853464e-05,6.39316758277783e-05,"time0",-0.521650342840506
"2","LV218_HUMAN",0.750994967158646,0.851336674670448,4.09122038908416e-06,4.8920042865758e-06,"time12",0.25789441246201
"3","LV310_HUMAN",0.164184082299471,0.312714133792965,2.53149642828025e-05,1.46458876171997e-05,"time0",-0.789494818019655
"4","LV39_HUMAN",0.148181300852659,0.292397393456536,1.14708940228611e-05,1.55638723757944e-05,"time12",0.44022321828518
"5","KV228_HUMAN",0.597807770594955,0.72708324450492,0.000389790242537318,0.00041353634264673,"time12",0.0853161461094787
"6","HV404_HUMAN",0.475532659596901,0.627005826166856,1.66201711002404e-06,1.33150371124973e-06,"time0",-0.31987878462315
"7","KVD24_HUMAN",0.871207794174552,0.925929564876263,0.000121414274801978,0.000105656907192738,"time0",-0.200550965912753
"8","KVD29_HUMAN",0.552076886516813,0.694514583648889,5.96346379759497e-06,4.82229480050195e-06,"time0",-0.306430694459894
"9","KV127_HUMAN",0.0775998538707887,0.193529823453119,1.12340859159948e-05,9.9567450301964e-06,"time0",-0.174136649954375
"10","LV545_HUMAN",0.201279706355701,0.345670985066878,3.38923666199655e-06,4.76310987555858e-06,"time12",0.490943449058849
"11","KVD15_HUMAN",0.793420613685745,0.87883896836063,1.61714320583993e-05,1.17028651163123e-05,"time0",-0.466585665856305
"12","KVD08_HUMAN",0.036241709702006,0.120664287653335,3.44560991354303e-06,8.7905018584895e-06,"time12",1.35118615306282
"13","KV240_HUMAN",0.702238315221897,0.811466329429366,4.21344411701932e-06,4.72648160973598e-06,"time12",0.165766650882797
"14","HV145_HUMAN",0.446872820710831,0.599409691916863,9.35232460674675e-06,2.9399438212108e-06,"time0",-1.66953641760581
"15","HV349_HUMAN",0.183969093486667,0.326164261025782,6.22927859008943e-05,3.7593218763536e-05,"time0",-0.728592649616465
"16","KVD21_HUMAN",0.0243902414330541,0.0947839375924736,3.56258796922283e-06,7.8470157500354e-07,"time0",-2.18270963735668
"17","HV601_HUMAN",0.149060718104777,0.293454076875356,1.28677052991565e-05,4.35621560134628e-06,"time0",-1.56260753639327
"18","HV315_HUMAN",0.0726974142612456,0.185962165046004,7.34899678290123e-05,2.35718140002395e-05,"time0",-1.64048453262861
"19","HV321_HUMAN",0.833634883024682,0.902699570197702,3.86433688062657e-05,6.51188660407693e-06,"time0",-2.56907338692891
"20","HV226_HUMAN",0.754418293600069,0.854299164336985,6.9423890677359e-06,6.94156752425425e-06,"time0",-0.00017073471821718
"21","HV373_HUMAN",0.15063055879143,0.294905756356278,8.74363317756442e-06,4.05992847291236e-06,"time0",-1.10677856627022
"22","HV374_HUMAN",0.558067532370401,0.697059257810206,4.29874827213917e-06,2.32032602028409e-06,"time0",-0.88958910361765
"23","HV343_HUMAN",0.504879873834092,0.653191829016084,1.95903261205921e-06,1.21010435617398e-06,"time0",-0.695009947342272
"24","HV372_HUMAN",0.190413502277319,0.334905727061964,2.17375682483076e-05,1.16818833306641e-05,"time0",-0.895917675616992
"25","GAL3B_HUMAN",0.649766048056904,0.770355816801089,7.61605965257545e-05,6.33868709253362e-05,"time0",-0.26486072703313
"26","KVD13_HUMAN",0.224306571197272,0.371748931676277,1.5956611708288e-05,1.17271958616614e-05,"time0",-0.444296250537968
"27","HV69D_HUMAN",0.698152376218751,0.808935818264713,6.58787481658774e-06,4.17024153924789e-06,"time0",-0.659682194507275
"28","KV621_HUMAN",0.504903176723131,0.653191829016084,2.08592596443476e-06,1.06352624102211e-06,"time0",-0.971832323113559
"29","HV103_HUMAN",0.0379099253645911,0.124210633133682,1.12328471271766e-05,1.31114911162777e-05,"time12",0.223108120735776
"30","HV118_HUMAN",0.715132966637612,0.823022969118777,1.97400480922739e-05,1.63965800524221e-05,"time0",-0.267730571222574
"31","HV320_HUMAN",0.610120154797508,0.737768442045732,9.09901815842423e-07,6.4808253111828e-07,"time0",-0.489533330652674
"32","HV124_HUMAN",0.540817904242618,0.684676842314785,3.76817757883349e-06,2.01118093074672e-06,"time0",-0.90582407903341
"33","HV428_HUMAN",0.683480902201426,0.79579560016552,1.15266919253271e-06,1.38144566991719e-06,"time12",0.261200294674249
"34","HV335_HUMAN",0.727537666179043,0.832362286633579,3.20990468740911e-06,3.52700018421816e-06,"time12",0.135911191478076
