Time,Category,Identifications
Time 0,Microbial peptides,56731
Time 0,Human peptides,563512
Time 0,Microbial proteins,25627
Time 0,Human proteins,101688
Time 12,Microbial peptides,57979
Time 12,Human peptides,577930
Time 12,Microbial proteins,26078
Time 12,Human proteins,102381
