#clustering method	cluster number	cluster color	hex color	gene count	primary description	secondary description	tertiary description	protein names
kmeans	15	Aquamarine	#75efe1	3	Mixed, incl. Nitric-oxide synthase complex, and Defective CYP11A1 causes AICSR	-	-	CYB5A, CYB5R3, CYB5R1
kmeans	16	Aquamarine 3	#75efef	3	Peptide cross-linking	Cornified envelope	Ichthyosis vulgaris, and Epidermolytic acanthoma	IVL, FLG, SPRR1A
kmeans	17	Sky Blue 3	#75e1ef	3	Protein K69-linked ufmylation	Ubiquitin-like modifier activating enzyme activity	-	UFL1, UBA5, UBA3
kmeans	18	Sky Blue	#75d2ef	3	Axonemal microtubule	-	-	EFHC1, CFAP52, CFAP20
kmeans	19	Sky Blue 2	#75c3ef	3	Dipeptidyl-peptidase activity, and Meprin A complex	-	-	PRCP, PREP, DPP9
kmeans	20	Sky Blue 4	#75b4ef	2	Aicardi-Goutieres syndrome	-	-	RNASEH2A, SAMHD1
kmeans	21	Cornflower Blue 2	#75a6ef	2	Procollagen-lysine 5-dioxygenase activity	Vitamin C	-	PLOD3, PLOD1
kmeans	22	Blue	#7597ef	2	Acute phase	Alpha-1-acid glycoprotein, and Protein-losing enteropathy	-	ORM1, ORM2
kmeans	23	Cornflower Blue	#7588ef	2	Maturation of nucleoprotein	Beta-catenin destruction complex	-	CSNK1A1, GSK3A
kmeans	24	Medium Slate Blue	#757aef	2	Biliverdin reductase (NADP+) activity	Heme degradation	-	BLVRB, BLVRA
kmeans	25	Purple	#7f75ef	2	Nicotinate and nicotinamide metabolism	-	-	BST1, NADSYN1
kmeans	26	Medium Purple	#8d75ef	2	SERine  Proteinase INhibitors	Mixed, incl. Pachyonychia congenita, and Epidermolysis bullosa simplex Dowling-Meara type	-	SERPINB3, SERPINB4
kmeans	27	Medium Purple 2	#9c75ef	2	Oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	Arachidonic acid metabolism, and Leukotriene receptor activity	-	ALOX15, PTGS1
kmeans	28	Medium Purple 3	#ab75ef	2	Insulin receptor recycling	Vacuolar proton-transporting V-type ATPase complex	Golgi lumen acidification, and V-type ATPase subunit E	ATP6V0A4, ATP6V1H
kmeans	29	Medium Orchid	#b975ef	2	Activation of AMPK downstream of NMDARs	-	-	CAMKK2, PRKAB1
kmeans	30	Orchid 4	#c875ef	2	Intraciliary transport particle B	-	-	IFT22, HSPB11
kmeans	31	Orchid 2	#d775ef	2	Pancreatic ribonuclease	-	-	ANG, RNASE2
kmeans	32	Violet 2	#e575ef	2	Positive regulation of lamellipodium morphogenesis	This set of domains is found in various eukaryotic proteins. Function is unknown.	-	CORO1B, CORO1C
kmeans	33	Violet	#ef75ea	2	COPII-coated vesicle cargo loading	Gelsolin repeat	-	SEC24C, SEC23B
kmeans	34	Orchid	#ef75dc	2	Mixed, incl. Exocyst, and FIP domain	-	-	RAB25, MYO5B
kmeans	35	Orchid 3	#ef75cd	2	Defective NEU1 causes sialidosis	-	-	CTSA, NEU1
kmeans	36	Hot Pink 2	#ef75be	2	-	-	-	PPP3CC, SSH2
kmeans	37	Hot Pink	#ef75b0	2	Ether lipid metabolism, and Kennedy pathway from sphingolipids	-	-	PAFAH1B3, LPCAT1
kmeans	38	Pale Violet Red	#ef75a1	2	Proximal tubule bicarbonate reclamation	Photoreceptor inner segment membrane	Response to glycoside	ATP1A1, ATP1A3
kmeans	39	Pink	#ef7592	2	-	-	-	CFD, RETN
kmeans	40	Light Coral	#ef7583	2	Signal regulatory protein family interactions	-	-	FYB1, SKAP2
