"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"5385","B3GN2_HUMAN",0.00310504222263277,0.0288435726217505,2.36498208420544e-06,5.97646869958208e-06,"time12",1.337464040174
"5398","TECR_HUMAN",0.00127229659802761,0.0177328060954721,1.31349910765242e-05,2.91224499031959e-05,"time12",1.14871650587467
"5400","UBAP1_HUMAN",0.00778376250326014,0.0499694286487262,9.51817678752902e-06,1.95584131972297e-06,"time0",-2.28289592382531
"5401","ARP10_HUMAN",0.000154366700501092,0.00602635491564066,3.82419434850785e-06,1.02437669049847e-05,"time12",1.42151858099383
"5403","CISD1_HUMAN",0.000730334102477186,0.0135896747479633,6.17057557047925e-06,1.69443446729319e-05,"time12",1.45732687079196
"5417","HPBP1_HUMAN",0.00473527385333772,0.0369722754588055,2.59986340234292e-06,7.13818159085873e-06,"time12",1.45712077752524
"5419","MYOF_HUMAN",0.00145747698843479,0.0189678336198932,7.39047292705873e-05,0.000231594823105127,"time12",1.64786441219608
"5436","VAPA_HUMAN",0.000231636688113213,0.00751938009837076,3.03586085865671e-05,5.39704369962109e-05,"time12",0.830063698965852
"5441","GMIP_HUMAN",0.00118079027619512,0.0171145294994228,0.000147881466993827,6.81753783899326e-05,"time0",-1.11711855275418
"5459","STK26_HUMAN",0.00602998215296531,0.0424607496668727,0.000102106947757144,5.2054423337822e-05,"time0",-0.971988368960645
"5464","RRBP1_HUMAN",0.00156181219870471,0.0197224191603874,6.10840289941616e-06,3.4545819291369e-05,"time12",2.49964399933612
"5472","CING_HUMAN",0.00419259258389319,0.0344936026220303,2.0725931704669e-08,6.4231836150671e-06,"time12",8.27570777065044
"5481","ATX10_HUMAN",0.00271719737185284,0.0268705627517831,4.08508664710905e-07,4.4675493146525e-06,"time12",3.45104507019269
"5496","ASH2L_HUMAN",0.00169627235997648,0.0206772138900806,7.96198512486823e-08,2.28294217858625e-06,"time12",4.8416223337287
"5497","DHCR7_HUMAN",0.00391556730062004,0.0334587746589463,2.10774657160751e-06,7.45430411376937e-06,"time12",1.82237226541835
"5499","SPAST_HUMAN",0.0023768350959738,0.0250827491665221,1.06370686711968e-05,2.66932368319682e-07,"time0",-5.31648256434318
"5515","FBLN5_HUMAN",0.000226168140335468,0.00751938009837076,4.68523826903279e-06,1.51175004111057e-05,"time12",1.69002529472108
"5516","KLK11_HUMAN",9.08551186277937e-05,0.0047603300312615,2.47365178509055e-05,6.85145902014279e-05,"time12",1.46976881606768
"5522","VTI1B_HUMAN",0.00197281316860762,0.0227871046678546,1.71469003553368e-05,6.19163568321951e-06,"time0",-1.46955531333021
"5537","CLM8_HUMAN",0.00396937829749632,0.033728160269308,4.58564219137789e-05,1.99225031515246e-05,"time0",-1.2027248632712
"5552","SEPT9_HUMAN",0.000951774418354035,0.0154179762251497,7.00842517275343e-05,0.000108682250593352,"time12",0.632954141159885
"5565","NB5R1_HUMAN",0.000871820375323296,0.0148049152581706,2.14020281925832e-05,4.18059469162016e-05,"time12",0.965960658891484
"5575","EI2BD_HUMAN",0.0023768350959738,0.0250827491665221,9.30614279859976e-07,2.91032784171232e-06,"time12",1.6449264486655
"5576","VATH_HUMAN",0.000331374608897087,0.00929249079315635,2.5803811221192e-05,4.42048880094458e-05,"time12",0.776621738854826
"5578","IPO11_HUMAN",0.00124104092831126,0.0176074524104588,3.81685940469028e-07,2.8489260590255e-06,"time12",2.89996022798305
"5581","DNAI1_HUMAN",0.00178440046863845,0.0213591663310169,7.70319700204225e-06,3.71419959494041e-05,"time12",2.26952211892803
"5582","CYH4_HUMAN",0.00202043193878914,0.0229430417687976,2.841917820566e-05,9.18215081297995e-06,"time0",-1.6299608039064
