"subgroup","variable","method","n_pairs","shapiro_p","stat","p_value","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","fisher_p","fisher_or","fisher_ci_low","fisher_ci_high","or_ha","or_ha_ci_low","or_ha_ci_high","cutoff_used","p_fdr"
"pediatric","FEV1_FVC","paired_t",14,0.21392537040929088,7.157187009191793,7.399113413428224e-6,"85.786 ± 7.402","92.357 ± 5.542",85.78571428571429,7.402479537067515,87.5,84.25,90.5,65,94,29,92.35714285714286,5.541551335933938,94,91,95.75,76,98,22,6.571428571428571,4.587868788001664,8.554988354855478,"cohen_d_paired",1.9128386886760689,NA,NA,NA,NA,NA,NA,NA,NA,5.919290730742579e-5
"NM→NM","ppFEV1","wilcoxon_paired",18,0.025338077140076288,24,0.007377629481299058,"87.000 [83.250-96.250]","96.500 [89.750-102.250]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,"rank_biserial_r",0.8596491228070176,NA,NA,NA,NA,NA,NA,NA,NA,0.011804207170078494
"NM→NM","ppFVC","wilcoxon_paired",18,0.013630624146328455,41.5,0.09727149683278197,"91.500 [83.000-99.500]","94.000 [88.500-102.250]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,"rank_biserial_r",0.7573099415204678,NA,NA,NA,NA,NA,NA,NA,NA,0.10150069234725075
"NM→NM","FEV1_FVC","paired_t",18,0.7988784456712641,4.533926042145873,2.936668563097833e-4,"84.556 ± 6.930","90.222 ± 6.531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.666666666666667,3.0297419580175546,8.30359137531578,"cohen_d_paired",1.0686566165998772,NA,NA,NA,NA,NA,NA,NA,NA,8.8100056892935e-4
"MS→MS","ppFEV1","paired_t",11,0.07561812139326726,3.7813298147636347,0.003594111154628709,"42.818 ± 12.131","55.000 ± 9.413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.181818181818182,5.003713200663943,19.35992316297242,"cohen_d_paired",1.1401138367413695,NA,NA,NA,NA,NA,NA,NA,NA,0.006635282131622232
"MS→MS","ppFVC","paired_t",11,0.9375151259690406,4.015977027045506,0.0024543021194051665,"56.636 ± 11.254","67.000 ± 9.518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.363636363636363,4.6136978868557605,16.113574840416966,"cohen_d_paired",1.2108626332179002,NA,NA,NA,NA,NA,NA,NA,NA,0.00535484098779309
"MS→MS","FEV1_FVC","paired_t",11,0.7078295275289468,2.1345450856126438,0.05857101403637184,"61.364 ± 7.433","66.727 ± 8.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.363636363636363,-0.23518028835038976,10.962453015623119,"cohen_d_paired",0.6435895588249257,NA,NA,NA,NA,NA,NA,NA,NA,0.063895651676042
"MS→NM","ppFEV1","paired_t",6,0.5920894459357561,4.159316741245091,0.0088299268376232,"58.833 ± 10.647","77.333 ± 5.610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,7.066448068815265,29.93355193118473,"cohen_d_paired",1.6980339491110343,NA,NA,NA,NA,NA,NA,NA,NA,0.012906489519158959
"MS→NM","ppFVC","paired_t",6,0.08751421508973686,3.4189079100949655,0.0188604797359814,"70.333 ± 14.306","82.000 ± 9.295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.666666666666666,2.8948242525421017,20.43850908079123,"cohen_d_paired",1.3957633095496482,NA,NA,NA,NA,NA,NA,NA,NA,0.023823763877029135
"MS→NM","FEV1_FVC","paired_t",6,0.12320392902591558,2.9563784888162226,0.031651073896717834,"70.167 ± 7.360","81.000 ± 7.043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.833333333333334,1.4137106458435451,20.252956020823124,"cohen_d_paired",1.2069364640233615,NA,NA,NA,NA,NA,NA,NA,NA,0.03617265588196324
