SampleType,Rank,Taxon,n_paired,detected_T0_n,detected_T12_n,detected_T0_percent,detected_T12_percent,detected_T0_only_n,detected_T12_only_n,detected_both_n,not_detected_n,increased_n,decreased_n,stable_n,median_T0_all,Q1_T0_all,Q3_T0_all,median_T12_all,Q1_T12_all,Q3_T12_all,median_delta_all,Q1_delta_all,Q3_delta_all,median_T0_among_T0_detected,median_T12_among_T0_detected,median_delta_among_T0_detected,patients_detected_T0_only,patients_detected_T12_only,patients_with_decrease,patients_with_increase
feces,Species,Bifidobacterium_longum,9,9,7,100,77.77777777777779,2,0,7,0,2,7,0,4.832605798425153,3.113701608591688,9.699370860048711,1.1638695269235646,0.0028464655830515383,3.3895470554887583,-3.6687362715015883,-9.69652439446566,-0.15379256798533975,4.832605798425153,1.1638695269235646,-3.6687362715015883,P21; P4,,P11; P16; P17; P21; P26; P27; P4,P14; P2
feces,Species,Escherichia_coli,9,9,8,100,88.88888888888889,1,0,8,0,3,6,0,1.557631200092507,0.2661038648954271,3.0212020586541084,0.02680911927130528,0.008558672170458068,0.19969757963569362,-0.4372602830591273,-2.996776064460516,8.665776753868327e-4,1.557631200092507,0.02680911927130528,-0.4372602830591273,P27,,P17; P2; P21; P26; P27; P4,P11; P14; P16
feces,Species,Collinsella_aerofaciens,9,8,5,88.88888888888889,55.55555555555556,3,0,5,1,4,4,1,0.5069636540426059,0.19079697345943455,2.2734754124878678,0.234207591927464,0,6.470752895114183,0,-0.19079697345943455,3.2028426949350064,0.5386315858751447,0.3198752865443448,0.013938128824102503,P21; P26; P4,,P21; P26; P27; P4,P11; P14; P16; P2
feces,Species,Eubacterium_rectale,9,6,9,66.66666666666666,100,0,3,6,0,8,1,0,0.05827803232627501,0,0.11187722419928826,2.1796595983765346,0.5549915377138193,5.607672209833349,0.7699525767903204,0.3748828922803984,3.873979095435632,0.08629399198577564,1.4775096625205668,0.5747518750928079,,P11; P27; P4,P14,P11; P16; P17; P2; P21; P26; P27; P4
feces,Species,Bifidobacterium_bifidum,9,6,5,66.66666666666666,55.55555555555556,2,1,4,2,3,4,2,0.029348843380393442,0,1.1424065772027208,0.3970783206112231,0,10.988706823518674,0,-0.029348843380393442,2.551026146719595,0.8250398719045848,5.004571691939645,-0.02861977908106976,P21; P27,P2,P17; P21; P27; P4,P14; P16; P2
feces,Species,Akkermansia_muciniphila,9,4,8,44.44444444444444,88.88888888888889,0,4,4,1,6,2,1,0,0,0.02461360621194584,0.19417370801533937,0.04328158859170714,2.8178519771592456,0.16233424712511613,0,0.2646809238254519,3.40831073220029,2.1581216924330806,0.08305814558429868,,P11; P14; P16; P21,P26; P27,P11; P14; P16; P2; P21; P4
feces,Species,Bifidobacterium_adolescentis,9,4,5,44.44444444444444,55.55555555555556,1,2,3,3,5,1,3,0,0,0.14501540737555155,0.015349802433997103,0,5.872249834523368,0.003395024736924138,0,2.3320715794954987,2.7974829519541027,2.9437998184786824,0.21284718136381922,P11,P14; P26,P11,P14; P16; P21; P26; P4
feces,Species,Bifidobacterium_pseudocatenulatum,9,4,6,44.44444444444444,66.66666666666666,0,2,4,3,4,2,3,0,0,2.265601280351193,0.5623116131422677,0,3.4036971243366145,0,0,2.7271159055550798,4.9267454956907475,4.30934662397028,-0.6173988717204684,,P11; P26,P14; P16,P11; P2; P26; P27
feces,Species,Ruminococcus_bromii,9,4,7,44.44444444444444,77.77777777777779,1,4,3,1,4,4,1,0,0,0.8079916729965546,1.5166702793141278,0.4827224026464624,6.453276865963899,0,-0.8079916729965546,1.5166702793141278,4.0886311083249325,3.1272939840553833,-0.8619926753429831,P4,P16; P17; P26; P27,P14; P2; P21; P4,P16; P17; P26; P27
