"FeatureID","Time","n","mean","sd","median","iqr"
"Bacteroides_stercoris","H0",9,0.003041929526582551,0.009125788579747654,0,0
"Bacteroides_stercoris","H12",9,5.5805224432770876e-5,1.1502083498463737e-4,0,0
"Bacteroides_thetaiotaomicron","H0",9,3.8603157335996633e-4,0.00101132649449797,0,0
"Bacteroides_thetaiotaomicron","H12",9,3.528213610579764e-4,0.001036344803481491,0,0
"Bacteroides_uniformis","H0",9,0.0012512359960019901,0.0031614777260133126,0,9.720512975771014e-5
"Bacteroides_uniformis","H12",9,5.087731864757923e-4,0.0011323088740318116,0,4.543128398215011e-5
"Bacteroides_xylanisolvens","H0",9,1.9514194126069e-4,5.8542582378207e-4,0,0
"Bacteroides_xylanisolvens","H12",9,3.633668449742526e-4,6.172231916941255e-4,0,6.911424115542879e-4
"Barnesiella_intestinihominis","H0",9,0,0,0,0
"Barnesiella_intestinihominis","H12",9,6.981268972248733e-4,0.002029755491517276,0,0
"Bifidobacterium_adolescentis","H0",9,0.01639913227363414,0.03340730826033187,0,0.00145015407375551
"Bifidobacterium_adolescentis","H12",9,0.07014313192366452,0.13754533681820472,1.5349802433997102e-4,0.05872249834523368
"Bifidobacterium_animalis","H0",9,0.007824143955478247,0.023425264255216353,0,0
"Bifidobacterium_animalis","H12",9,0,0,0,0
"Bifidobacterium_bifidum","H0",9,0.043390096277839955,0.09566164435596167,2.934884338039344e-4,0.0114240657720272
"Bifidobacterium_bifidum","H12",9,0.05236580725251115,0.06277187466793065,0.00397078320611223,0.10988706823518676
"Bifidobacterium_breve","H0",9,0.0012413730350517187,0.0037100365093303265,0,0
"Bifidobacterium_breve","H12",9,0,0,0,0
"Bifidobacterium_dentium","H0",9,3.150166242148014e-6,9.450498726444041e-6,0,0
"Bifidobacterium_dentium","H12",9,3.947065212419544e-4,0.0011841195637258633,0,0
"Bifidobacterium_longum","H0",9,0.11285330035021289,0.1467223457973614,0.04832605798425152,0.06585669251457024
"Bifidobacterium_longum","H12",9,0.05220056003686615,0.09413131404922172,0.01163869526923564,0.033867005899057064
"Bifidobacterium_pseudocatenulatum","H0",9,0.050055394792841774,0.11585643238158704,0,0.02265601280351193
"Bifidobacterium_pseudocatenulatum","H12",9,0.0483035925523563,0.10126640524485876,0.00562311613142267,0.03403697124336614
"Bilophila_wadsworthia","H0",9,0.001774286934509999,0.002912892852565072,0,0.00248225696897736
"Bilophila_wadsworthia","H12",9,2.9287013873827204e-4,6.827949664682811e-4,0,9.326717016807168e-5
"Bittarella_massiliensis","H0",9,1.1199629749451812e-5,3.359888924835544e-5,0,0
"Bittarella_massiliensis","H12",9,1.852494652161473e-5,4.020049724983986e-5,0,0
"Blautia_SGB4815","H0",9,1.6743156637515633e-4,3.153414528916349e-4,0,9.529761978880682e-5
"Blautia_SGB4815","H12",9,0.0013049847646428307,0.002345375695581393,0,9.469724521209064e-4
"Blautia_caecimuris","H0",9,0.0011659323314676042,0.0022394689837348758,0,3.0962402280568794e-4
"Blautia_caecimuris","H12",9,0.0022842540371580487,0.005465323826129507,1.6807207317658435e-4,0.00118721298043747
"Blautia_faecis","H0",9,8.165294857202526e-4,0.0013776739162169977,5.079192422463486e-4,7.62493904115187e-4
"Blautia_faecis","H12",9,0.007456183757618139,0.00783136944697869,0.00553321016852204,0.007658841583985401
"Blautia_glucerasea","H0",9,7.573182937939667e-5,1.3484111051907283e-4,0,1.3546521506333024e-4
"Blautia_glucerasea","H12",9,0.007715098277977538,0.0220795467035041,0,8.845306945978126e-4
"Blautia_hansenii","H0",9,0.00767443884719378,0.013852352226102232,0,0.00395711064846967
"Blautia_hansenii","H12",9,0.0024511836804999797,0.0036345354329654156,1.6671479981114997e-4,0.00494788142080821
"Blautia_hydrogenotrophica","H0",9,3.3076570206136446e-4,9.922971061840933e-4,0,0
"Blautia_hydrogenotrophica","H12",9,8.041177236358539e-5,2.4123531709075615e-4,0,0
"Blautia_massiliensis","H0",9,0.00857687258883869,0.01621289715574063,0.00210229376197443,0.0062325867550614596
"Blautia_massiliensis","H12",9,0.023851309944722458,0.03468527088419109,0.00380033017124059,0.03921848708726196
"Blautia_obeum","H0",9,6.624676381774988e-4,0.0011040440760563283,4.4857053569231e-5,7.305483662245228e-4
"Blautia_obeum","H12",9,0.005781734632578417,0.010536425134864318,0.00150779583621233,0.005136546999277422
"Blautia_producta","H0",9,0.0012726252164435255,0.0035377545988309524,1.2376923948624513e-4,2.1645922827784076e-4
"Blautia_producta","H12",9,3.356095078463752e-4,5.825633335848451e-4,7.519917941040412e-5,3.144370675238582e-4
"Blautia_sp_MCC283","H0",9,0,0,0,0
"Blautia_sp_MCC283","H12",9,0.0016963128302947877,0.003598605515813372,0,0.00142087841687786
"Blautia_stercoris","H0",9,4.9137102472804026e-5,1.4741130741841209e-4,0,0
"Blautia_stercoris","H12",9,6.064119480097621e-6,1.8192358440292866e-5,0,0
"Blautia_wexlerae","H0",9,0.0017385063037597072,0.002018588049039926,9.640537308655633e-4,4.7332363796315376e-4
"Blautia_wexlerae","H12",9,0.023078818558333887,0.0214563464013539,0.01873884699732628,0.032793740955132766
"Candidatus_Cibionibacter_quicibialis","H0",9,0.008617541154448417,0.021923718086688374,0,0.00148067798080711
"Candidatus_Cibionibacter_quicibialis","H12",9,0.005280535400988684,0.007802504719072267,7.901632596994836e-4,0.00486053142211249
"Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1","H0",9,0,0,0,0
"Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1","H12",9,2.9624745761098084e-5,5.528499107970219e-5,0,4.174075482609834e-5
"Citrobacter_freundii","H0",9,0.0011593026143771456,0.0034779078431314368,0,0
"Citrobacter_freundii","H12",9,4.681856951545958e-6,1.4045570854637874e-5,0,0
"Clostridia_bacterium","H0",9,0.001760198311529896,0.004355312028673564,0,8.460913433061336e-4
"Clostridia_bacterium","H12",9,1.3701993145394123e-6,4.1105979436182366e-6,0,0
"Clostridia_bacterium_UC5_1_1D1","H0",9,1.0823435237203617e-4,2.1277659412889904e-4,0,1.9640912962828653e-5
"Clostridia_bacterium_UC5_1_1D1","H12",9,4.136181507919687e-6,1.240854452375906e-5,0,0
"Clostridiaceae_bacterium","H0",9,7.287992346136078e-4,0.0018312903682551048,3.91858179335769e-5,1.329729283952501e-4
"Clostridiaceae_bacterium","H12",9,0.001169421795241355,0.001786136087480178,8.511831445709537e-6,0.00237001036071198
"Clostridiaceae_bacterium_Marseille_Q3526","H0",9,1.0197385187456746e-4,2.636660572385877e-4,0,0
"Clostridiaceae_bacterium_Marseille_Q3526","H12",9,1.4900020694349638e-6,4.470006208304891e-6,0,0
"Clostridiaceae_unclassified_SGB15090","H0",9,0.0043742064947341844,0.013122619484202553,0,0
"Clostridiaceae_unclassified_SGB15090","H12",9,4.117851704654353e-5,1.235355511396306e-4,0,0
"Clostridiales_bacterium_KLE1615","H0",9,1.745659441388979e-5,5.236978324166937e-5,0,0
"Clostridiales_bacterium_KLE1615","H12",9,4.147543073874936e-6,1.244262922162481e-5,0,0
"Clostridium_SGB4750","H0",9,5.867197715092042e-5,1.5052569578887743e-4,0,0
"Clostridium_SGB4750","H12",9,1.993810529324457e-4,5.422045471972928e-4,0,0
"Clostridium_SGB6173","H0",9,3.068830114030711e-4,9.206490342092134e-4,0,0
"Clostridium_SGB6173","H12",9,0.00055952369277640095,0.0015047021189407734,0,1.9539610049536344e-4
"Clostridium_SGB6177","H0",9,0,0,0,0
"Clostridium_SGB6177","H12",9,9.59482348421797e-6,1.9219118420312202e-5,0,0
"Clostridium_SGB6179","H0",9,2.1936664283964825e-5,4.63396993056056e-5,0,0
"Clostridium_SGB6179","H12",9,3.2993175815980544e-4,4.1718671653504245e-4,1.3242966805801422e-4,4.852833132126524e-4
"Clostridium_fessum","H0",9,0.004152949865079778,0.01033623475653959,0,6.487639063034339e-4
"Clostridium_fessum","H12",9,1.1219121836509117e-4,2.250574943667294e-4,0,0
"Clostridium_innocuum","H0",9,6.576569125756226e-4,0.0016720208625072702,2.240291634822643e-5,1.4985399525233755e-4
"Clostridium_innocuum","H12",9,3.384681672860665e-4,3.5917590803118235e-4,1.4160161621642298e-4,5.933635439794735e-4
"Clostridium_leptum","H0",9,5.8992291283810644e-5,1.5362911897672028e-4,0,0
"Clostridium_leptum","H12",9,3.1974619473985064e-4,7.207669221324948e-4,0,8.61005369625164e-5
"Clostridium_perfringens","H0",9,0.0011028557592373614,0.003094905340519739,0,2.055326753801582e-4
"Clostridium_perfringens","H12",9,7.377588718249434e-5,2.1848293703316012e-4,0,0
"Clostridium_saccharogumia","H0",9,0,0,0,0
"Clostridium_saccharogumia","H12",9,1.694295693075637e-4,4.8216440222360266e-4,0,0
"Clostridium_saudiense","H0",9,4.529038431717569e-5,8.457755543589538e-5,0,1.9525818990451073e-5
"Clostridium_saudiense","H12",9,0.0010737840554510857,0.0017477199269330288,9.88548676196971e-5,0.00114621890724455
"Clostridium_scindens","H0",9,1.0498144168837925e-4,2.689596653796262e-4,0,5.5254124770645154e-5
"Clostridium_scindens","H12",9,1.0829316730359567e-4,1.663702039268016e-4,0,2.4233822810702693e-4
"Clostridium_sp_1001270J_160509_D11","H0",9,0,0,0,0
"Clostridium_sp_1001270J_160509_D11","H12",9,1.0336947750939969e-4,2.3572566029553182e-4,0,0
"Clostridium_sp_AM49_4BH","H0",9,3.540972478901291e-5,1.0622917436703874e-4,0,0
"Clostridium_sp_AM49_4BH","H12",9,6.679871832010862e-5,1.0171112063264664e-4,0,1.1459544998916206e-4
"Clostridium_sp_AT4","H0",9,0.00433172497016993,0.012818151232737857,0,0
"Clostridium_sp_AT4","H12",9,3.9910164304633706e-4,0.0011763242332778123,0,0
"Clostridium_sp_C5_48","H0",9,2.6523534726844437e-4,7.305214219838987e-4,0,1.52636862043189e-5
"Clostridium_sp_C5_48","H12",9,0,0,0,0
"Clostridium_sp_NSJ_42","H0",9,0,0,0,0
"Clostridium_sp_NSJ_42","H12",9,2.4117529126569436e-4,7.189199630412085e-4,0,0
"Clostridium_spiroforme","H0",9,1.7010897707599274e-5,5.103269312279783e-5,0,0
"Clostridium_spiroforme","H12",9,3.156383142824516e-4,6.746788540705583e-4,0,5.141977043794723e-6
"Clostridium_symbiosum","H0",9,4.8325558068949094e-4,7.363440395185535e-4,3.4989436114482614e-5,0.0010368279644013298
"Clostridium_symbiosum","H12",9,5.911112871438705e-4,0.0017488131299936112,0,0
"Collinsella_aerofaciens","H0",9,0.031046781318425386,0.06710794666686794,0.00506963654042605,0.02082678439028434
"Collinsella_aerofaciens","H12",9,0.043147653366608994,0.06877143790721842,0.00234207591927464,0.06470752895114183
"Collinsella_bouchesdurhonensis","H0",9,2.000986855178522e-4,6.002960565535566e-4,0,0
"Collinsella_bouchesdurhonensis","H12",9,1.9826549461951444e-4,5.947964838585434e-4,0,0
"Coprobacillus_cateniformis","H0",9,4.163817816567924e-5,8.236113833270862e-5,0,1.2785858499543278e-6
"Coprobacillus_cateniformis","H12",9,1.4310155720573777e-4,4.293046716172133e-4,0,0
"Coprococcus_catus","H0",9,5.561908518445678e-4,8.561324053613087e-4,2.903839747297852e-6,0.00112075959594141
"Coprococcus_catus","H12",9,0.0018945030928838964,0.00217121575434406,3.67653165970087e-4,0.00422493603452293
"Coprococcus_comes","H0",9,0.005637621483389829,0.011719418728069898,1.6412646394944183e-4,0.00506960353675665
"Coprococcus_comes","H12",9,0.008624726348223113,0.008783012374842497,0.00519658236668615,0.01363208717928437
"Corynebacterium_durum","H0",9,6.238361260174113e-5,1.693134467784336e-4,0,0
"Corynebacterium_durum","H12",9,3.075134209221603e-5,6.926402379171856e-5,0,0
"Desulfovibrio_piger","H0",9,3.417849397053838e-5,1.0253548191161514e-4,0,0
"Desulfovibrio_piger","H12",9,7.678356873319922e-4,0.0023035070619959767,0,0
"Dialister_invisus","H0",9,0.021289209291514413,0.042270301048392765,5.573253844340125e-5,1.579141069501345e-4
"Dialister_invisus","H12",9,0.028144363825885168,0.06548391675229129,8.656815085008528e-4,0.00217290217639117
"Dialister_pneumosintes","H0",9,2.2318904959394885e-5,4.6299184831525395e-5,0,0
"Dialister_pneumosintes","H12",9,0,0,0,0
"Dorea_formicigenerans","H0",9,0.003516016344389812,0.01034020209417119,0,1.0686846729201592e-4
"Dorea_formicigenerans","H12",9,0.003032785824961775,0.0037989300604581297,0.00218428691890839,0.0037525056835880717
"Dorea_longicatena","H0",9,0.011771899058071864,0.028846313371214953,0.00178882717393837,0.00479959818308688
