FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
UNCLASSIFIED,0.16546839615011324,0.031349787463647465,0.3399487010047234,0.04292286322974892,0.039412022370950574,0.254363899225832,0.12398461340095414,0.16177111627793844,0.11412390385716228,0.14492825402452603,0.04393068955079301,0.09948747595873675,0.20763554812929,0.11148853121186915,0.1852485953396863,0.0916629114469112,0.2631628090729322,0.11844028673822213
Streptococcus_mitis,0,0,0,0,0,0.001812754447022077,0,0,0,1.9349887880934625e-5,0,1.850103504973199e-4,1.705281349428925e-4,0,0,2.192046945253903e-4,8.379314527704625e-4,0
Streptococcus_sanguinis,0,0,0,0,0,0,2.22930153773605e-5,0,0,0,0,0,0,0,0,4.6414516177486706e-4,0.0011607014383683265,1.3770287782001933e-4
Enterocloster_clostridioformis,0.008240051763183437,0,0.018178294321725658,0,1.5431314349036485e-4,0.009612574837062557,0,0,0,0,0,0,0.001797245832520503,0,0,0,1.9763485528641476e-5,0
Ruminococcus_gnavus,0.01598885878356519,5.133534952168063e-4,0,0.0011028782886073867,0.2137834443868189,0.009595617169759272,0.014592385268293427,0.02199831067152371,6.299530395910505e-4,3.6193313601126426e-4,0.003879429769984851,0.0013138255462291967,0.024792969944390644,0.011868504607258334,0.0015301374079667205,0.008071018716015262,2.9393143018362195e-4,0.082915145905506
Longicatena_caecimuris,0.001131409737948884,0,0,0,0,0,0,0,0,0,0,0.0034937213435602887,0,0,1.6978085611343693e-5,2.3853155886682489e-4,0,0
Clostridium_symbiosum,0.0010457780653510191,0,8.950100949680295e-6,0,0.001927699229507589,0.0052542524631264105,1.0242736795003472e-5,0,0,0,0,0,0.0012752271926803227,0,4.6413464807341925e-05,0,3.4989436114482614e-5,6.574912116842493e-5
Streptococcus_thermophilus,0.0012756793917825947,0,0.003459427114693093,0,0.006879996824632428,0,0,0,2.1643050191135186e-5,0,7.63709853539335e-4,0,0.0012163044537918369,8.191558052749628e-4,0.009709254804697766,0.005616006248685673,0.0017322291729414893,2.2116523254523453e-5
Eggerthella_lenta,0.0030906260109996764,0.004274643519527547,0,0,0,0.0012632452755989363,3.7526575885223507e-4,0.003492604368616762,0.003822904138622133,0.004221684346582359,0,0.011329186950589836,7.682461268273082e-5,0.012857175800808496,0.023853406587577588,0.009113167302550546,2.7225209656802032e-5,3.6197042810683864e-4
Lancefieldella_parvula,0,0,0,0,0,2.4669368386446666e-4,0,0,0,0,6.8090035453880664e-6,0,0,0,0,0,6.16096411122446e-4,0
Erysipelatoclostridium_ramosum,0.002206102394047234,0,2.1373693458403182e-4,0,0.0035318876365402993,0.0013222942956728778,5.946812480393192e-4,0.005888225154442148,0,0.0015489936153390673,0,0,8.817951548936613e-5,0.0012455739896235544,0,0.004360561180040256,0,0.004409694482748061
Ruminococcus_torques,0.0665117478162407,3.752584029362619e-5,5.785600971043334e-4,0,0.002170104521840879,0.0019612349744216806,0.008767682277534786,0.0016069714421937896,6.001938455782397e-5,3.5591762682548144e-5,0,7.884364800485242e-5,0.001706508906489102,0.0029600461534976,3.9039550701586737e-4,0.003707453360170637,0,3.3665151234487284e-4
Hungatella_hathewayi,5.584762212876091e-4,0,4.240643069015187e-5,5.106568260721912e-5,0,8.428364403716434e-5,2.511478894539577e-4,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_lavalensis,6.172153024911032e-4,0,0,0,0,4.23941682582144e-6,0,0,0,0,0,0,0,0,0,0,0,0
Flavonifractor_plautii,0.005364566483338725,0,0,0,9.428897586497883e-4,0,1.2883756184303388e-4,1.1303906640227636e-5,8.416741740997018e-5,0,0,0,1.2193733464422788e-4,0,4.638332619383067e-4,0,0,0
Faecalimonas_umbilicata,0,0,0,4.303964211885462e-5,0.029015933743363472,0.0014099089100731875,7.755358457628609e-4,0,0,0.001374343331978507,8.811651646972793e-5,5.466627359108821e-4,4.347597921459467e-5,0.001954787535319077,0,0,0,0.005501209953956601
Blautia_hansenii,0.03485229294726626,1.6671479981114997e-4,0,0,0.028859494237659655,0.00764659575333579,0.0039571106484696745,0.0049478814208082115,0,0,0,3.9976350938521714e-4,0.0014010517913484438,0.008751687062456104,0,0,0,1.4801057870334928e-4
Enterocloster_aldenensis,0.0011206931413781948,0,9.333676704666593e-5,0,6.338584502950682e-5,8.699888957560712e-4,0,0,0,0,0,0,4.7158650395125043e-5,0,0,0,0,4.465336052564871e-4
