"variable","method","n_pairs","shapiro_p","stat","p_value","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","p_fdr"
"ALT","wilcoxon_paired",34,6.215740042794378e-8,311.5,0.8107586284871424,"27.000 [20.250-39.500]","24.000 [19.250-37.750]",33.029411764705884,20.997092575239808,27,20.25,39.5,11,104,93,38.26470588235294,47.32115218219298,24,19.25,37.75,12,285,273,-2,NA,NA,"rank_biserial_r",0.4764705882352941,0.8107586284871424
"AST","wilcoxon_paired",34,0.002997336732889559,238.5,0.6331165969600971,"26.500 [20.500-37.000]","29.500 [24.000-33.750]",29.676470588235293,13.16496863980266,26.5,20.5,37,12,70,58,32.61764705882353,16.00002785202567,29.5,24,33.75,12,77,65,2,NA,NA,"rank_biserial_r",0.5991596638655462,0.8107586284871424
"GGT","wilcoxon_paired",34,8.953347691310213e-11,179,0.1759289796853854,"15.000 [13.000-23.750]","19.000 [15.250-30.500]",40.61764705882353,102.93216792769839,15,13,23.75,9,608,599,31.794117647058822,45.81436813910828,19,15.25,30.5,12,276,264,3,NA,NA,"rank_biserial_r",0.6991596638655462,0.5277869390561563
