FeatureID,Rank,Taxon,A1H0,A1H12,A3H0,A3H12,A4H0,A4H12,A6H0,A6H12,A7H0,A7H12,A8H0,A8H12,A9H0,A9H12,A10H0,A10H12,A12H0,A12H12,A13H0,A13H12,A16H0,A16H12,A17H0,A17H12,A19H0,A19H12,A20H0,A20H12,A22H0,A22H12,A24H0,A24H12,A25H0,A25H12,A26H0,A26H12,A27H0,A27H12,A28H0,A28H12,A30H0,A30H12,P2H0,P2H12,P4H0,P4H12,P5H0,P5H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P20H0,P20H12,P21H0,P21H12,P25H0,P25H12,P26H0,P26H12,P27H0,P27H12,P42H0,P42H12
UNCLASSIFIED,Phylum,UNCLASSIFIED,9.17887091788709,14.328847973613975,21.426988819490994,16.04632374011882,25.0024487317775,16.332069522654784,21.18185906075606,19.42531,19.68980543410028,16.171568382843162,26.69395583265896,18.315840533000618,18.16783096008654,10.467275467950149,19.26534957292376,8.10736929008386,36.1527640030882,5.889517644192942,36.75741,11.257241125724113,18.400365203792454,12.59467723160889,18.96510433352501,9.360138751023182,17.794130354598238,29.66406,20.689236641667332,13.855789864982745,14.895965098874422,11.8457350761137,14.113572354196045,16.455428098852888,14.649541909768587,16.77270343119254,30.124018985255795,9.593024780173923,14.934343812635984,9.119533671598793,11.593416864646997,31.355305480924507,35.868531128565486,16.950505858449368,16.381038570101992,3.1328206265641256,31.958747190313442,4.2783608556721715,14.67529360508903,25.371011262611503,3.918239169083727,25.25441681133736,12.346732469346493,16.028414808524445,11.389693416908026,14.458504961144817,4.388401423210177,9.873620048846128,8.661520866152086,32.890505882461255,20.544036230080525,11.028628120976652,12.015497596900481,14.16956224535749,18.461777209096496,9.15394361957564,26.10027607783463,11.844028673822212,17.51931314641105,7.140999119660531
Actinomycetota,Phylum,Actinomycetota,34.281293428129345,12.392461662466213,3.2312271642638315,13.428791797606692,3.0815221657596417,9.13975935327242,3.4603278160705284,2.1252099999999996,4.744984592478482,0.298769970123003,6.525663747454398,3.472140287713511,1.3119105770881696,2.2121106476685886,5.946155993465395,17.532076129469363,6.664829930112877,0.6166997533200987,4.2400899999999995,24.713192471319246,6.007019827572783,5.259436458029367,6.623448392480877,5.125305280707599,4.275947583564896,22.156860000000002,5.15242851579946,16.323363026404238,5.866299663596118,2.4408318614716533,10.620034201122971,13.034757312815811,5.4988734100837595,9.531361660545338,1.6282865743436181,67.05304384339757,1.0093859412186892,12.16322055845001,3.02526034576465,38.806932888896554,2.1325131149145764,17.549313012547042,6.804120058682972,87.72763754552751,6.2936678379537065,0.6612001322400265,0.7388160420167681,9.658675039362029,19.13260460316647,3.102719080767285,12.438622487724496,46.19829385948816,83.00568490170545,25.63480869071027,76.14411508433344,26.422027106319177,18.504231850423185,0.07788642092331685,2.719391674081502,42.82769179296249,38.24420235115952,6.215081513130176,33.14710022607083,7.147717351846129,8.992390908452686,6.8389994164640395,15.90608205741742,20.77644567836932
Bacillota,Phylum,Bacillota,50.30464503046451,34.03493840168761,75.27164846369693,62.357469881108116,65.94681805727394,67.09288608462838,73.05160372621512,78.43388999999999,61.78633643410557,83.27536167246384,51.95066735740159,65.78125250744826,68.68679310455708,86.98489868499925,74.44730603746062,73.78847607532568,56.11528616485701,91.73168330732666,58.99311,60.86443608644363,73.5740102660835,72.11529057332235,68.58462019581667,79.52563479137126,66.52975548011463,47.72306999999999,73.17870128499217,68.28446308620398,51.47366480872033,79.24314013314904,75.22715465116292,70.14945134506212,79.65234153450015,73.19223359413604,58.97831094953065,21.118853108705153,83.79034341182572,78.60974079724427,69.28762943605955,14.893673170479193,57.85258171716233,65.21843272558961,61.09135395004102,8.541861708372345,44.59270062464188,16.881283376256672,84.51871889344322,53.461288186069986,75.25908502611412,61.243851599989526,74.874264974853,34.952380485714144,4.608421382526416,59.798553575382954,18.987768718643718,63.65844452858526,72.05977720597771,66.39907949318487,66.66998988964235,45.848896444827034,48.104490379101925,76.03860211040163,30.754453835695173,78.4133517741263,7.885529405199576,81.17682720760682,64.52376074311309,71.38565513191057
Bacteroidota,Phylum,Bacteroidota,0.17051001705100172,0.2500437275989972,0.011168657372709948,3.818809182616055,5.855251028342028,7.13767682582174,2.2373671748584374,0.01559,13.62021302012323,0.2542999745700026,8.450758769369756,1.4125985909742864,1.3391312402005109,0,0.286389590770171,0.1005177314030756,0.058477125068639765,0,0.00579,0.017220001722000174,0.72189018072867,0.4802203951271288,5.82226348919993,5.901270670788968,8.25840689625927,0.23010999999999998,0.9758462884460692,0.22010035692305946,4.601530975611371,0.8378821094624459,0.039238793518076714,0.34196307766769907,0.1992431456474839,0.38130809850452535,1.145498345908535,0.09712119506970016,0.20808534779343832,0.04989009231723678,12.450460261756549,14.82189202987768,2.229042012313897,0.21812941876049818,12.923695521930348,0.38042007608401524,0.4384713702455697,8.816651763330352,0.03274558639703934,0.9153634839182279,0.10252769782988576,1.4122892737709989,0.08553001710600343,0.020480006144001844,0.9547202864160859,0.032136768003341504,0,0,0.7744700774470077,0.5837128415824423,3.421863656022333,0.1100373514675849,1.6358096728380653,0.08920714646137813,1.5272296210860612,0.5688844620318674,0.07336473936216281,0.13557128530725307,0.0776916119120055,0.0023427249000757145
Pseudomonadota,Phylum,Pseudomonadota,0.016830001683000168,0.2622353628749579,0.047205656161633774,0.2803208712290832,0.10981947959361779,0.2883476468759888,0.03948971421551035,0,0.12276813952765069,0,3.3390035104797544,10.756015781620897,10.494334118067705,0.33571519938200234,0.029466998763647636,0.4715607737180506,0.9861893234730424,1.7620992951602819,0.0036,3.147910314791032,0.15697937492498304,9.550375341912272,0,0,3.1341986995104163,0.22429,0.0037872690949373677,1.316283665485979,0.12979417650042488,0.029312054003879366,0,0.018400165601490413,0,0.12239321562158482,8.12388514496138,2.137957072653632,0.057841486526203724,0.05761488038968245,3.6432330917722555,0.1221964298220595,0.987482404317008,0.05921273619076199,2.791855005257567,0.023220004644000928,10.329629822544005,3.996540799308161,0.029575045502762774,10.593662028038207,1.5875435038058061,8.706488178626472,0.2548500509700102,0.008480002544000763,0.04148001244400373,0.026745632630231927,0.47883454486511945,0.041765761121459716,0,0.03085234944193574,6.625710389518508,0.024162593543755006,0,2.101843290710695,1.2551236381184658,0.5995857821886341,56.894935412827664,0,1.9499081051866844,0.5365546877824271
Bacteria_unclassified,Phylum,Bacteria_unclassified,0,0,0,0,0,0,0.008644364005796263,0,0,0,0.011988126751124588,0,0,0,0.025331806616387537,0,0,0,0,0,0.0016572779360561906,0,0,0,0,0.0016099999999999999,0,0,0.042870285446906936,0.001371968363010411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014827984749341775,0,0,0,0,0,0,0,0,0
Fusobacteriota,Phylum,Fusobacteriota,0,0.0052392976576232184,0,0,0,0,0,0,0.020311346642282384,0,0.08596827789558542,7.77151268255359e-4,0,0,0,0,0,0,0,0,0.9556467225822198,0,0.004563588977506498,0,0,0,0,0,0.010308924781150954,0,0,0,0,0,0,0,0,0,0,0,0.28012818284100155,0.004406248462717253,0,0,7.712865058918276e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041801759054458385,0,0,0,0,0,0.02760178307518666,0,0,0
Mycoplasmatota,Phylum,Mycoplasmatota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Saccharibacteria,Phylum,Candidatus_Saccharibacteria,0,0,0.011761239013887904,0,0.004140537253255811,0.009260566746684898,0.02070814387852944,0,0.015581033022489392,0,0.0010607190614517583,0,0,0,0,0,0.02245345340022099,0,0,0,0.18243114637932478,0,0,0,0.0075609859525682145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031491625962846694,0,0,0,8.113533373667277e-4,0,0.004850827551180231,0,0,0.01744767126703265,0,0,0,0.006071278611275535,8.802289475492575e-4,0.004142555128002952,0,0.01796301240618704,0,0,0,0,0,0,0,0,0.023244335959739487,0
Spirochaetota,Phylum,Spirochaetota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
