FeatureID,A1H0,A1E0,A1H12,A1E12,A3H0,A3E0,A3H12,A3E12,A4H0,A4E0,A4H12,A4E12,A6H0,A6E0,A6H12,A6E12,A7H0,A7E0,A7H12,A7E12,A8H0,A8E0,A8H12,A8E12,A9H0,A9E0,A9H12,A9E12,A10H0,A10E0,A10H12,A10E12,A12H0,A12H12,A13H0,A13E0,A13H12,A13E12,A16H0,A16E0,A16H12,A16E12,A17H0,A17E0,A17H12,A17E12,A19H0,A19E0,A19H12,A19E12,A20H0,A20H12,A22H0,A22E0,A22H12,A22E12,A24H0,A24E0,A24H12,A24E12,A25H0,A25E0,A25H12,A25E12,A26H0,A26H12,A27H0,A27E0,A27H12,A27E12,A28H0,A28E0,A28H12,A28E12,A30H0,A30E0,A30H12,A30E12,P2H0,P2E0,P2H12,P2E12,P3E0,P3E12,P4H0,P4E0,P4H12,P4E12,P5H0,P5E0,P5H12,P5E12,P11H0,P11E0,P11H12,P11E12,P14H0,P14E0,P14H12,P14E12,P16H0,P16H12,P17H0,P17E0,P17H12,P17E12,P20H0,P20E0,P20H12,P20E12,P21H0,P21H12,P25H0,P25E0,P25H12,P25E12,P26H0,P26E0,P26H12,P26E12,P27H0,P27E0,P27H12,P27E12,P42H0,P42E0,P42H12,P42E12
Collinsella_aerofaciens,0.04471400447140045,0,0.009120585390834575,0,0.001873863674484258,0,0.05410407659184657,0,0.003912456811339177,0,0.020877577707755713,0,0,0,0,0,0,0,0.0018839998116000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.013996394401443e-4,0,0,0,0,0,0,0,0,0.0016672379641707333,0,0.003355263047768584,0,0,0,0,0,0.009946315460579263,0.03447573244547088,0.014762821524633818,0,0.012174366563708953,0,0.0025140145363309347,0,0.0018153163378470407,0,0,0,0.008157279684707391,0,0.005354113426940607,0,0,0,0,0,0,0,0.043738181537671394,0,0.0033929396435885386,0,0.05839164486764102,0,0.02250694953636729,0,0.1527151305430261,0,0,0,0.0017936918780525918,0,0,0,0,0,7.861404046762752e-5,0,0.001042994086613104,0,0.002325320599706827,0,0.005679201135840227,0,0.16289234886770465,0,0.03261410978423294,0.06455429513455534,0,0,0,0,6.710000671000067e-5,0,0,0,0.0027693412336296263,0,0,0,0.009771345627543547,0,0.20677201287141997,0,0,0,0.005028024810402752,0,0.004055429811612256,0,1.0454438294958294e-4,0,0,0
Eubacterium_ramulus,0,0,1.0548719758082693e-4,0,2.6445211207145046e-4,0,0.0028659228342117916,0,1.5399189397096672e-4,0,3.1361919349464187e-4,0,0.05669240205794367,0,0.0228435,0,0.037037555589935614,0,0.004794499520550048,0,0,0,5.399687383332689e-5,0,0,0,0.0012144256308517282,0,0,0,0,0,0,3.843998462400615e-4,0,0,0,0,0.01717462235406789,0,0.013579488791049515,0,0,0,0,0,0,0,0,0,0,0,0.03652558348213417,0,0.011958356654291912,0,0,0,0.002792925136326227,0,0,0,9.902923929094385e-4,0,0,0,7.15918399102857e-4,0,0.026323870668588434,0,0,0,0,0,0.016451994908837104,0,4.287541312351811e-4,0,0.003870862230933789,0,7.25000145000029e-4,0,0,0,0.001214826330318972,0,5.410001082000217e-4,0,0,0,0.0010558885817006918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08457296465559651,0,0,0.005469750834134751,0,0,0.0015271919137805723,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseburia_lenta,0,0,4.9487821087301526e-5,0,0,0,0,0,6.57773968973641e-4,0,0.014063760702154971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7279993088002764e-4,0,0,0,0,0,0,0,0,0.0038997293934348496,0,0,0,0,0,0,0,0,0,0.12054031200743044,0,0.055770714243725476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006498439396914053,0,0.003352300670460134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria_subflava,0,0,0,0.007457842420648399,0,0.008092001618400324,0,0.02061706172319731,0,0,0,0,0,0,0,0,0,0,0,0.008397500839750084,0,0.001532035404220138,0,1.8500001850000185e-4,0,0,0,0,0,0,0,0,0,0,0,0.0884809,0,0.3076683,0,0.1975504,0,0.11816323407187763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1002869693365974,0,0,0,0.1339699,0,0,0,0.03386903316276919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048197575887068966,0,0,0,0,0.0017478001747800174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004685640272713975,0,0,0,0.0389757,0,0,0,0,0,0,0,0,0,0,0,0.005392022580958656,0,0.005541538731245854,0,0,0,0
Burkholderia_contaminans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426339,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0012333229870617418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2008472093403454e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fusobacterium_periodonticum,0,0,0,0.006335712883902276,0,0,0,0.00207424457618893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001271559167841882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152661,1.7376308056831578e-5,0.0048762,0,0.04559300088677696,4.563588977506498e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003275530522524713,0,0,0,0,0,0.0036357996364200364,0,0,0,0,0,0,0,0.002916632270032195,0,0,0,0,0,0,0,0,0,0.0063270519418014886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032315946492254026,0,0,0,0.010157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016681718305799297,0,0,0,0
Lachnoanaerobaculum_sp_ICM7,0,0,0,0,0,0,0,0.0028198389596249375,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5451297239143274e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016442190099721283,0,8.339518700383301e-4,0,0,0,0.013262177381383584,0,0,0,0,0,0,0,0,0,5.575289781528765e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.730497185682254e-4,0,0.005100598469820459,0,0.0114524,0,0,0,0,0,0,0,0,0,0,0,0.0044931519791917614,0,0,0,0,0,0
Prevotella_nanceiensis,0,0.002773205221702373,0,0,0,0.0010042002008400401,0,0.0017736032949162781,0,0,0,0,0,0.007161299283870072,0,0,0,0,0,0,0,9.01594273712982e-4,0,0.001799500179950018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006172,0,0,0,0,0,0,0,0,0,0,0,0.003589278705650633,0,0,0,0,0,0,0,0,0,0.1078621,0,0,0,5.090973230930743e-4,0,0,0,0.10730404996876299,0,0.011498298850170115,0,0,0,0,0,0,0,0.00615831273581928,0,0,0,0,0,0,0,0,0,0,0,7.695000769500077e-4,0,0.005116955548572039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020762687089260438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001016771678359858,0,0.010874475650900864,0,0,0,0
Campylobacter_showae,0,0,0,0,0,0,0,3.365940527506274e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.225640813342588e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393,0,0.0049921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solobacterium_SGB6829,0,0.007894412273475327,0,0.003853174702029595,4.449384187149736e-5,3.174000634800127e-4,0,0.0025159929744879533,0,0,0,0,1.4424084630441838e-4,0,0,0.0077694,0,0,0,0,6.589466999679083e-4,0.002205788515254228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032462,3.515438046179799e-5,0,0,0,5.297022920320042e-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0013651998498351286,0,0,0,0,0,0.0013900851593432245,0,0.0023622777493969463,0,0,1.2570323057302572e-4,0.0068650016782791645,0,0.012642898735710126,0,0,0,0,0,0,0,0.006976042137091226,0,0,0,0,0,0,0,0,0,0.006574798855721443,3.2655571040419496e-4,5.91100059110006e-4,0,0,0,0,8.929279206735262e-5,0,0,0,0,0,0,0,0,0,0,0.0016101324745420626,0,0,0,0,2.8745035282000435e-5,0,0,0,0,0,0,0,0,0,1.6631074367404135e-4,0.001623491819536889,0,2.2840844824694408e-4,0,0,0,0
