"variable","method","n_pairs","shapiro_p","stat","p_value","p_fdr","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","fisher_p","fisher_or","fisher_ci_low","fisher_ci_high","or_ha","or_ha_ci_low","or_ha_ci_high","cutoff_used"
"Elastase","paired_t",9,0.05139728714588262,0.4393234609197512,0.6720521061616944,0.9150535243560355,"54.893 ± 66.730","61.482 ± 63.029",54.89333333333333,66.73042615628945,18.42,15,66.15,15,217.26,202.26,61.48222222222222,63.029478178424135,38.38,15,72.96,15,203,188,6.588888888888889,-27.99611823176194,41.17389600953972,"cohen_d_paired",0.14644115363991708,1,1,0.011347525791295101,88.12493739975625,1,0.08588043669384844,11.644095424955255,200
"fecal_fat","paired_t",6,0.8722516029772855,-0.36089614216179805,0.7329238349874119,0.9150535243560355,"4.787 ± 3.202","4.150 ± 2.488",4.786666666666666,3.2017911653739484,4.449999999999999,3.1249999999999996,5.250000000000001,1.1,10.52,9.42,4.15,2.488172019776768,3.6999999999999997,3.1500000000000004,5.300000000000001,0.7,8,7.3,-0.6366666666666666,-5.171499759880297,3.8981664265469638,"cohen_d_paired",-0.14733523307255733,NA,NA,NA,NA,NA,NA,NA,NA
"CFA","wilcoxon_paired",6,0.025215813982524097,6,0.6858304344516057,0.9150535243560355,"96.500 [95.250-97.000]","96.000 [94.500-96.000]",93.33333333333333,8.066391179868893,96.5,95.25,97,77,98,21,95.83333333333333,1.834847859269718,96,94.5,96,94,99,5,-0.5,NA,NA,"rank_biserial_r",0.7142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"UI_L_kg_day","paired_t",8,0.7881142036491875,0.11057942612097216,0.9150535243560355,0.9150535243560355,"7208.750 ± 1906.376","7240.750 ± 2070.718",7208.75,1906.3764993156146,7835.5,5949,8645.75,3807,9297,5490,7240.75,2070.7177327128456,7576.5,6066.25,8376.25,3940,9841,5901,32,-652.2862068047766,716.2862068047766,"cohen_d_paired",0.03909573103492813,NA,NA,NA,NA,NA,NA,NA,NA
