"Gene","n_paired","Prev_T0","Prev_T12","DeltaPrev","Lost_1to0","Gained_0to1","Total_Discordant","P_value","P_adj"
"blaCTX-M-15",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaCTX-M-210",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaCTX-M-27",34,0.058823529411764705,0.058823529411764705,0,1,1,2,1,1
"blaCTX-M-65",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaDHA-4",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaMIR-6",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaOXA-347",34,0.058823529411764705,0.029411764705882353,-0.029411764705882353,1,0,1,1,1
"blaOXA-418",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"blaOXY-6-1",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"blaSHV-1",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaSHV-12",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"blaSHV-27",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"blaTEM-176",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaTEM-1B",34,0.17647058823529413,0.17647058823529413,0,5,5,10,1,1
"blaTEM-1C",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"blaTEM-30",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"blaTEM-84",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaZ",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"bleO",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"cat(pC194)",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"catP",34,0.058823529411764705,0.029411764705882353,-0.029411764705882353,2,1,3,1,1
"cepA-29",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"cfxA",34,0.08823529411764706,0.11764705882352941,0.029411764705882346,3,4,7,1,1
"cfxA4",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"cmlA1",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"dfrA17",34,0.08823529411764706,0.08823529411764706,0,3,3,6,1,1
"dfrA36",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"dfrA5",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"erm(B)",34,0.9411764705882353,0.9411764705882353,0,2,2,4,1,1
"erm(C)",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"erm(G)",34,0.47058823529411764,0.47058823529411764,0,6,6,12,1,1
"erm(T)",34,0.11764705882352941,0.14705882352941177,0.02941176470588236,2,3,5,1,1
"fosA",34,0.058823529411764705,0.029411764705882353,-0.029411764705882353,2,1,3,1,1
"fosA2",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"fosA3",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"fosB3",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"lnu(A)",34,0.029411764705882353,0.058823529411764705,0.029411764705882353,1,2,3,1,1
"lnu(C)",34,0.47058823529411764,0.4411764705882353,-0.02941176470588236,9,8,17,1,1
"lsa(A)",34,0.11764705882352941,0.14705882352941177,0.02941176470588236,3,4,7,1,1
"mph(B)",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"nimA",34,0.029411764705882353,0.029411764705882353,0,0,0,0,1,1
"OqxA",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"OqxB",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"qnrB60",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"qnrS1",34,0.029411764705882353,0.058823529411764705,0.029411764705882353,1,2,3,1,1
"sul3",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"tet(D)",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"tet(O/W)",34,0.029411764705882353,0.029411764705882353,0,1,1,2,1,1
"tet(S/M)",34,0.058823529411764705,0.058823529411764705,0,2,2,4,1,1
"tetA(P)",34,0.14705882352941177,0.11764705882352941,-0.02941176470588236,4,3,7,1,1
"VanHBX",34,0.058823529411764705,0.058823529411764705,0,0,0,0,1,1
