"Outcome","FeatureID","n","beta_SD","conf.low","conf.high","p","singular_fit","model_used","p_fdr_outcome","p_fdr_global"
"acetate","Adlercreutzia_equolifaciens",18,-0.321589368956644,-0.600498057766247,-0.0426806801470413,0.0527059921665085,FALSE,"LMM",0.158117976499526,0.474353929498577
"acetate","Clostridium_SGB6179",18,-0.115543027385794,-0.451886756684949,0.220800701913361,0.518018483864746,FALSE,"LMM",0.777027725797119,0.892202400566507
"acetate","Flavonifractor_plautii",18,0.0219307695400574,-0.289881283442638,0.333742822522753,0.89369790340226,FALSE,"LMM",0.89369790340226,0.89369790340226
"propionate","Adlercreutzia_equolifaciens",18,-0.2337498440094,-0.684963443283091,0.21746375526429,0.331374448649023,FALSE,"LMM",0.853752805922364,0.892202400566507
"propionate","Clostridium_SGB6179",18,-0.119318649978512,-0.576561991288131,0.337924691331107,0.618957136325532,FALSE,"LMM",0.853752805922364,0.892202400566507
"propionate","Flavonifractor_plautii",18,0.039791672066859,-0.372665287356724,0.452248631490442,0.853752805922364,FALSE,"LMM",0.853752805922364,0.89369790340226
"butyrate","Adlercreutzia_equolifaciens",18,-0.0975576387513824,-0.570992919344937,0.375877641842172,0.693935200440617,FALSE,"LMM",0.693935200440617,0.892202400566507
"butyrate","Clostridium_SGB6179",18,0.200459124931321,-0.244052696766448,0.644970946629089,0.396644392990027,FALSE,"LMM",0.594966589485041,0.892202400566507
"butyrate","Flavonifractor_plautii",18,-0.310920715424494,-0.725006262843763,0.103164831994775,0.167633975615907,FALSE,"LMM",0.50290192684772,0.75435289027158
