FeatureID,Rank,Taxon,A1E0,A1E12,A3E0,A3E12,A4E0,A4E12,A6E0,A6E12,A7E0,A7E12,A8E0,A8E12,A9E0,A9E12,A10E0,A10E12,A13E0,A13E12,A16E0,A16E12,A17E0,A17E12,A19E0,A19E12,A22E0,A22E12,A24E0,A24E12,A25E0,A25E12,A27E0,A27E12,A28E0,A28E12,A30E0,A30E12,P2E0,P2E12,P3E0,P3E12,P4E0,P4E12,P5E0,P5E12,P11E0,P11E12,P14E0,P14E12,P17E0,P17E12,P20E0,P20E12,P25E0,P25E12,P26E0,P26E12,P27E0,P27E12,P42E0,P42E12
UNCLASSIFIED,Phylum,UNCLASSIFIED,9.19521150933355,2.9560786691691545,3.565690713138143,25.743506318574404,4.789740478974048,9.773990000000001,5.919659408034059,26.61358,0.22383,14.005701400570139,21.53313532707445,0,14.742161474216148,0,0,45.088210000000004,0,19.01199,0,0,2.4961207108437584,0,0.5086,15.665046542267818,13.91369860863014,14.858001232408585,30.137150000000002,0,3.8271997830110966,18.708675260320465,26.68178207597852,1.0959598904040109,2.615409738459026,0,0,28.053804024972766,73.27926000000001,46.18106,4.0620804062080405,22.02695779730422,4.292249141550172,0,21.512212151221217,0,6.2738112547622515,15.909911590991161,21.848642184864218,12.351328764867125,0,28.809394182725,9.860377041886888,0,0,0,18.716328103832108,0,21.848991140104413,0,0,0
Actinomycetota,Phylum,Actinomycetota,14.403616868160757,2.2128767123842557,30.175436035087206,45.496149247866015,0,0,11.339468866053116,27.370689999999996,0,0.03170000317000032,26.09851017866796,0.011120001112000111,10.747291074729107,0,50.350139999999996,8.14292,38.9663,13.995550000000001,10.4952,0,4.146211482055152,0,0.8026099999999999,5.530176463531994,15.447638455236154,28.42137400857403,0,12.30942,15.009349245319475,15.069146355244678,12.095961960749088,16.46910835308916,0.4371799562820044,0,0,23.937690294321882,20.04373,53.818940000000005,0,0,30.648763870247226,32.10823018049703,9.174760917476092,11.957255963513704,36.464747292949454,22.065892206589222,14.822701482270146,21.95073780492622,0,14.622424592247132,7.454117763764671,21.91988,6.760640709006108,0,7.210499613943938,0,12.797581366505502,1.6955429167674558,21.833433613718274,0
Bacillota,Phylum,Bacillota,33.667548350703576,31.878848491145394,34.230796846159365,18.32512762232404,0,0,9.445969055403092,29.128690000000002,1.07314,21.719072171907218,44.00622121201222,0.7706600770660077,49.05688490568849,24.69077,49.649860000000004,46.76887,52.185610000000004,16.27085,50.32741000000001,10.839968473790156,2.7920569858791775,0,0,62.90912259663843,3.4389296561070344,33.82326569987448,0,60.66485,17.494860315394007,38.34218308665789,33.54254907922976,41.0516458948354,0.04786999521300048,0,100,19.11259111061472,6.67701,0,4.938600493860049,13.008728699127131,55.681638863672234,40.70782974303762,45.48303454830345,45.829948311626715,37.12951742590349,31.33068313306831,21.646232164623218,35.02852649714735,100,37.42463979140404,31.79537046138886,35.725609999999996,91.14122527609014,0,53.065149352160276,0,31.80563697257659,23.260987837039423,28.765173945576507,0
Bacteroidota,Phylum,Bacteroidota,16.862691418046786,44.93500438583433,9.220731844146371,6.541701910063592,0,0,11.334848866515115,6.3516900000000005,0,4.610360461036047,5.043126141912813,0.7806400780640078,14.064021406402139,0,0,0,0,13.69085,9.83884,39.57654456535039,0.10277025147124651,0,0,2.0982213381198385,0,2.7425205854397983,0,10.78621,28.000009601278887,17.444058485811812,19.87646819251094,33.38987666101234,0,0,0,16.96196177360378,0,0,4.03440040344004,0,4.552159089568182,16.603005582310313,22.523222252322224,34.279764765764,14.758872951774594,30.693513069351308,4.696320469632047,30.669406933059307,0,10.453529919816075,50.37506488748053,28.011339999999997,0,0,0,0,18.879875717452578,39.68025767170036,35.88481100710077,0
Pseudomonadota,Phylum,Pseudomonadota,17.399509445546617,3.0539725978012706,20.173124034624806,2.1063917618280112,95.21025952102595,90.22601,58.93585410641459,3.9688999999999997,98.70303,59.63316596331659,1.3552721609021945,97.91669979166998,11.389641138964114,75.30923,0,0,8.848090000000001,35.50415,26.28534,18.452449399082777,90.46284056975067,100,98.68879,12.37090587267665,67.19973328002668,19.08046876230313,69.86285,16.239520000000002,35.66858105499652,4.656751675787304,7.571951001289413,2.2798197720180227,96.89954031004598,100,0,6.04822327219635,0,0,82.23883822388383,64.96431350356865,4.045219190956162,2.3512342819291843,0,0.23587278096669365,1.977110395422079,0,35.06922350692235,0,0,1.926959446349924,0.1977599406720178,4.21592,2.0981340149037506,100,21.008022930063678,100,12.384457195153404,6.339135132674967,0,100
Bacteria_unclassified,Phylum,Bacteria_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacteriota,Phylum,Fusobacteriota,1.792567982616136,5.600490694962843,0.2514900502980101,0.24521993381885934,0,0,0,0,0,0,1.1899513384862506,0.5208800520880053,0,0,0,0,0,1.52661,2.6784000000000003,29.65341016278311,0,0,0,0.045411238836403786,0,0.19211553144699295,0,0,0,4.183189842122965,0.08014700860443719,2.5386597461340257,0,0,0,0.68252027782768665,0,0,4.468390446839045,0,0,2.4641612476198387,0.22369002236900223,0,0,0,0,0,0,1.5023283545370696,0.31730990480702853,4.45859,0,0,0,0,2.0327026359698173,27.22557062077371,2.0991804947947212,0
Mycoplasmatota,Phylum,Mycoplasmatota,0.6170316387651821,2.281352842042926,0.25125005025001007,0.09367749983425672,0,0,0,0,0,0,0.24329245991803558,0,0,0,0,0,0,0,0,0,0,0,0,1.3811159479288464,0,0,0,0,0,0.6191363728428629,0.060361721716268524,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3959406791881355,0,0,0,0,0,0,0,0,0,0,0,0.2507549722376994,0,0,0
Candidatus_Saccharibacteria,Phylum,Candidatus_Saccharibacteria,4.722126020972352,3.8823494623884582,1.921810384362077,1.3174737880260647,0,0,3.02419969758003,6.56645,0,0,0.09420859392288594,0,0,0,0,0,0,0,0.37481,0.2261035708015899,0,0,0,0,0,0.807283504266948,0,0,0,0.33085122540573475,0.010581658264541658,3.104449689555031,0,0,0,5.203209246462812,0,0,0.2576900257690026,0,0.7799698440060312,5.765538964606012,1.0830801083080108,7.697158178128874,0,0,1.9168801916880192,0,0,5.24310198287961,0,2.37742,0,0,0,0,0,1.422232401803331,11.417400938809731,0
Spirochaetota,Phylum,Spirochaetota,1.3396967658550336,3.1990261442713672,0.2096700419340084,0.1307519176647483,0,0,0,0,0,0,0.4037280938326862,0,0,0,0,0,0,0,0,1.2515238281919776,0,0,0,0,0,0.07497067568604163,0,0,0,0.646007695806285,0.08019730165702532,0.0704799929520007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621730041165254,0,2.23434,0,0,0,0,0,0.10073992537533577,0,0
