"var","n","rho","p","p_fdr"
"fat_mass_perc_delta",9,0.7666666666666667,0.015944016578974034,0.07972008289487018
"fat_mass_index_kgm2_delta",9,0.6778302010921357,0.04480926269300501,0.11202315673251252
"Ingestion_kcalday_delta",9,0.36666666666666664,0.3317398014330152,0.5528996690550253
"lean_mass_perc_delta",9,-0.2928895930645031,0.44435469568522534,0.5554433696065317
"total_body_water_perc_delta",9,-0.13333333333333333,0.7323675052362975,0.7323675052362975
