taxon,lfc_(Intercept),lfc_AST,lfc_Age,lfc_Sexmale,se_(Intercept),se_AST,se_Age,se_Sexmale,W_(Intercept),W_AST,W_Age,W_Sexmale,p_(Intercept),p_AST,p_Age,p_Sexmale,q_(Intercept),q_AST,q_Age,q_Sexmale,diff_(Intercept),diff_AST,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_AST,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,569.5858416256136,-19.953565395471728,1.227170809621514,NA,0.4456556745164948,0.00934862659279467,0.005225088516361056,NA,1278.0850198835108,-2134.384681793866,234.8612479537784,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,-0.38269783012232444,0.028262256814133604,-0.008729618623941986,-0.546224350197272,0.7193303365067314,0.016315034291135105,0.013089100467207071,0.49219135296129113,-0.5320195891929316,1.7322830163765033,-0.6669380104318733,-1.1097804683298254,0.6025039695707736,0.10372854537554094,0.5149407867719453,0.284568808908879,1,0.31330254521591955,1,0.7520747092591802,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,-0.4157696239856631,0.03566375849769194,0.0033977221465948146,-0.7825230924654315,0.45867787507033325,0.010613627084499266,0.006112605626826436,0.2314951623700837,-0.906452319990166,3.360185751181826,0.5558549584293819,-3.380299978858468,0.43151924193107727,0.043727304109305726,0.6170751850421348,0.04308182435970936,1,0.15408669067088684,1,0.18217457157819958,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,-0.7571474424104818,-0.037209179398521114,-0.00415565802855925,2.4236185798777674,0.4652404793639286,0.010618262792445024,0.007173687496947958,0.27386316026420104,-1.6274324268723244,-3.5042624321744733,-0.5792917562031065,8.849742979448774,0.16457393607448806,0.017205828998998595,0.5875106733282409,3.0619608498122497e-4,0.5535668758869144,0.08214395780167072,1,0.009063404115444259,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Lancefieldella_parvula,-1.5967253430536412,0.015218324676740218,-7.187980036402276e-4,1.8271655985595656,0.544109559301493,0.011049654336959432,0.010055640628724223,0.35501382851263574,-2.93456587144592,1.3772670359322654,-0.0714820696343265,5.146744864037128,0.018865851346148446,0.20573265918924724,0.9447688173674622,8.778258417464094e-4,0.1163394166345821,0.5511814345576336,1,0.014435358286496508,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Schaalia_odontolytica,-2.8416417766548068,0.07180463033070518,0.03832236739068657,0.5773688242167979,0.47312178154654944,0.01115179789219941,0.0059893382471421985,0.3471976177041061,-6.006152934591163,6.438838923088081,6.398430980078978,1.6629400513596027,0.009246001848806683,0.007595667382885997,0.007732518580051488,0.1949114942145523,0.08552551710146182,0.04683994886113031,0.07152579686547626,0.5769380228750748,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_salivarius,-0.22699644302919797,-0.010803174648664935,0.02889170992632562,-0.2222259458191673,0.5248076905202315,0.011559278752850202,0.009515508004219136,0.2882541960481288,-0.43253261552661487,-0.9345889894731683,3.0362761413804873,-0.7709374186596853,0.6767775834099149,0.3773474730039599,0.016154487392974475,0.46290293272671523,1,0.9155315738456732,0.08701790099705183,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,0.008095267902563725,-0.02696811190665198,0.03565666672466988,0.18873015734006018,0.6674603350088808,0.018509246278580256,0.013724162734154806,0.38235967735804094,0.01212846288829435,-1.4570075680423955,2.598094136258854,0.4935932539856539,0.990561681345703,0.17578713054208733,0.026578271935837967,0.632253746505505,1,0.4817869503746098,0.10450600700289914,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_moorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,-0.3469407516843433,-0.0022925253437051326,0.020621635648879193,-0.3037200835214165,0.5024187140183082,0.012012930296100649,0.008567272477402785,0.2606147000802245,-0.690541060681312,-0.19083814583101988,2.407024604770217,-1.1653988951042398,0.505565371961787,0.8524711608042657,0.03687038988738658,0.2709026691755441,1,1,0.13309311471544424,0.7289744552360097,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
