"ClinVar","n_T0_sig","n_T12_sig","n_common_same","n_common_flip","n_only_T0","n_only_T12"
"ALT",0,53,0,0,0,53
"AST",1,26,0,0,1,26
"Calprotectin",1,0,0,0,1,0
"Elastase",11,0,0,0,11,0
"GGT",40,68,17,13,10,38
