"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Peptostreptococcus_stomatis","Peptostreptococcus_stomatis","T0","ppFEV1",NA,1,FALSE,NA
"Metamycoplasma_salivarium","Metamycoplasma_salivarium","T0","ppFEV1",-0.186792561347893,0.425138350608657,FALSE,"-"
"Alloprevotella_tannerae","Alloprevotella_tannerae","T0","ppFEV1",NA,1,FALSE,NA
"Corynebacterium_durum","Corynebacterium_durum","T0","ppFEV1",-0.188717839163934,1,FALSE,"-"
"Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1","Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1","T0","ppFEV1",NA,1,FALSE,NA
"Neisseria_subflava","Neisseria_subflava","T0","ppFEV1",-0.12769211312674,0.268029408974518,FALSE,"-"
"Lachnoanaerobaculum_sp_ICM7","Lachnoanaerobaculum_sp_ICM7","T0","ppFEV1",0.112867973481593,0.493801223096211,FALSE,"+"
"Prevotella_nanceiensis","Prevotella_nanceiensis","T0","ppFEV1",0.0193070073756243,1,FALSE,"+"
"Solobacterium_SGB6829","Solobacterium_SGB6829","T0","ppFEV1",-0.0087527749183108,1,FALSE,"-"
"Prevotella_pallens","Prevotella_pallens","T0","ppFEV1",0.114425536954778,0.268029408974518,FALSE,"+"
"Peptostreptococcus_SGB749","Peptostreptococcus_SGB749","T0","ppFEV1",-0.0642938533389471,0.445854493372256,FALSE,"-"
"Eubacterium_sulci","Eubacterium_sulci","T0","ppFEV1",0.0557394255176203,1,FALSE,"+"
"Schaalia_meyeri","Schaalia_meyeri","T0","ppFEV1",-0.00254246896991922,1,FALSE,"-"
"Schaalia_SGB17168","Schaalia_SGB17168","T0","ppFEV1",-0.0196928490495637,1,FALSE,"-"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T0","ppFEV1",0.0426736965486928,1,FALSE,"+"
"Capnocytophaga_leadbetteri","Capnocytophaga_leadbetteri","T0","ppFEV1",0.0660942474579665,1,FALSE,"+"
"Oribacterium_sinus","Oribacterium_sinus","T0","ppFEV1",0.0469234153230697,0.300652475624992,FALSE,"+"
"Capnocytophaga_SGB2499","Capnocytophaga_SGB2499","T0","ppFEV1",NA,1,FALSE,NA
"Lautropia_mirabilis","Lautropia_mirabilis","T0","ppFEV1",-0.107579922008296,0.495040110805898,FALSE,"-"
"GGB12785_SGB19823","GGB12785_SGB19823","T0","ppFEV1",-0.0852769980482661,1,FALSE,"-"
"Treponema_vincentii","Treponema_vincentii","T0","ppFEV1",0.942497163962813,1,FALSE,"+"
"Leptotrichia_wadei","Leptotrichia_wadei","T0","ppFEV1",NA,1,FALSE,NA
"Leptotrichia_sp_oral_taxon_215","Leptotrichia_sp_oral_taxon_215","T0","ppFEV1",NA,1,FALSE,NA
"Catonella_massiliensis","Catonella_massiliensis","T0","ppFEV1",0.157299328954701,0.268029408974518,FALSE,"+"
"TM7_phylum_sp_oral_taxon_352","TM7_phylum_sp_oral_taxon_352","T0","ppFEV1",NA,1,FALSE,NA
"Streptococcus_constellatus","Streptococcus_constellatus","T0","ppFEV1",-0.417812547175256,1,FALSE,"-"
"Lancefieldella_rimae","Lancefieldella_rimae","T0","ppFEV1",2.44294915522145,1,FALSE,"+"
"Streptococcus_cristatus","Streptococcus_cristatus","T0","ppFEV1",-0.282788827876666,1,FALSE,"-"
"Achromobacter_xylosoxidans","Achromobacter_xylosoxidans","T0","ppFEV1",-0.422096575932812,1,FALSE,"-"
"Pseudomonas_aeruginosa","Pseudomonas_aeruginosa","T0","ppFEV1",-0.0386406812354353,0.460328599859457,FALSE,"-"
"Slackia_exigua","Slackia_exigua","T0","ppFEV1",0.124567774986013,1,FALSE,"+"
"Tannerella_forsythia","Tannerella_forsythia","T0","ppFEV1",NA,1,FALSE,NA
"Haemophilus_influenzae","Haemophilus_influenzae","T0","ppFEV1",-32.7026617604423,1,FALSE,"-"
"Eubacterium_brachy","Eubacterium_brachy","T0","ppFEV1",NA,1,FALSE,NA
"GGB3883_SGB5265","GGB3883_SGB5265","T0","ppFEV1",0.0467684545291632,0.8307844787202,FALSE,"+"
"Parvimonas_sp_oral_taxon_110","Parvimonas_sp_oral_taxon_110","T0","ppFEV1",NA,1,FALSE,NA
"Oribacterium_asaccharolyticum","Oribacterium_asaccharolyticum","T0","ppFEV1",NA,1,FALSE,NA
"Campylobacter_concisus","Campylobacter_concisus","T0","ppFEV1",-0.152626365769195,1,FALSE,"-"
"Lachnoanaerobaculum_orale","Lachnoanaerobaculum_orale","T0","ppFEV1",0.758175654768454,0.268029408974518,FALSE,"+"
"Neisseria_sicca","Neisseria_sicca","T0","ppFEV1",0.164209413213694,0.425138350608657,FALSE,"+"
"Capnocytophaga_sputigena","Capnocytophaga_sputigena","T0","ppFEV1",NA,1,FALSE,NA
"Porphyromonas_catoniae","Porphyromonas_catoniae","T0","ppFEV1",NA,1,FALSE,NA
"Cardiobacterium_hominis","Cardiobacterium_hominis","T0","ppFEV1",NA,1,FALSE,NA
"Mogibacterium_SGB3923","Mogibacterium_SGB3923","T0","ppFEV1",NA,1,FALSE,NA
"Prevotella_oulorum","Prevotella_oulorum","T0","ppFEV1",-0.420762206694475,0.268029408974518,FALSE,"-"
"GGB3883_SGB5266","GGB3883_SGB5266","T0","ppFEV1",0.014759951488942,1,FALSE,"+"
"Cutibacterium_acnes","Cutibacterium_acnes","T12","ppFEV1",-0.341170412321673,1,FALSE,"-"
