taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Haemophilus_haemolyticus,-1.4966231426082732,0.011116579440609021,0.05144442759713639,-0.3173922485698315,3.417439839612399,0.02932784655549108,0.03383720169492266,0.18620416208810642,-0.4379369390092959,0.3790451992298648,1.5203511230320128,-1.7045389587997002,0.7372179206457878,0.7693447488877041,0.37038479060917356,0.3377647001235009,1,1,1,0.7461070987802707,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Treponema_vincentii,7.1294589721954535,-0.07108934423251544,-0.04746603043694954,0.38941825848004225,3.381374294324152,0.029011689244181106,0.03354125163024687,0.1921567125265699,2.108450100943482,-2.4503690093390156,-1.4151538219326785,2.026565990642646,0.1695128099215933,0.13389691067156592,0.2926582710992174,0.17993577377761352,1,1,1,0.48419080943794185,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Leptotrichia_wadei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Filifactor_alocis,-3.762882464277074,0.0208749012753087,0.0024184195915902718,2.56109020839813,3.363772280988148,0.02885145213100952,0.033362145898809314,0.20598838033361186,-1.1186495844396704,0.7235303505875316,0.07248992912283213,12.433178047471776,0.3447893524265299,0.5216666974700462,0.9467744043954724,0.0011212480048657346,1,1,1,0.014297845124166486,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Leptotrichia_sp_oral_taxon_215,1.5049978666418338,-0.007144157720536568,-0.03581847454620903,0.3966238629189853,3.3203688011444927,0.028547171266443468,0.03282769675683692,0.24287127022857274,0.4532622599402447,-0.25025799067294485,-1.091105319131146,1.6330620848884754,0.6738597408700029,0.8147158822342347,0.33654531348233135,0.17779339432560848,1,1,1,0.48419080943794185,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Catonella_massiliensis,-0.8894687656817228,-0.013181597137416389,-0.0022087655491801247,2.5156001922012243,3.233933999419173,0.027759468498548892,0.032060803576329115,0.16768689734891698,-0.2750423372404863,-0.47485048707274236,-0.06889301897632046,15.001769559650521,0.7925095607522566,0.6516842405257721,0.9473133841632002,5.526416263851392e-6,1,1,1,2.7263653568333535e-4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Prevotella_intermedia,8.094769568906804,-0.019685972885256853,-0.1357498986803699,-2.727152925669281,3.4356023384149554,0.029477836817434863,0.034124420993944096,0.2381916661529418,2.356142757965811,-0.6678228462684702,-3.978086505979422,-11.449405303366863,0.25552733434437197,0.6251566174015031,0.15678313482888565,0.05546212448799062,1,1,1,0.23690212902253427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TM7_phylum_sp_oral_taxon_352,-5.221986486794341,0.05468074828998779,0.006163337273688799,0.5752640575610625,3.168275540106212,0.027191378420526487,0.031378445470549146,0.3220811198501143,-1.6482109654576576,2.0109590416611565,0.19641945868457758,1.7860843809434437,0.13371180491756204,0.075211570996013985,0.8486455246082215,0.10773573534241072,1,1,1,0.34662801805819105,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_constellatus,-0.27242695246243304,0.027645820299352943,-0.02071092832491266,-0.750082286700858,3.418479101376412,0.02934512514926993,0.033793110714824895,0.1984490267449709,-0.0796924434473633,0.9420924313229837,-0.61287427782808,-3.7797226774248545,0.9493732088714616,0.5189765344471229,0.6499659886491267,0.16465762926506922,1,1,1,0.4597986628534008,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_SGB6834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
