taxon,lfc_(Intercept),lfc_GGT,lfc_Age,lfc_Sexmale,se_(Intercept),se_GGT,se_Age,se_Sexmale,W_(Intercept),W_GGT,W_Age,W_Sexmale,p_(Intercept),p_GGT,p_Age,p_Sexmale,q_(Intercept),q_GGT,q_Age,q_Sexmale,diff_(Intercept),diff_GGT,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_GGT,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,14.191074491046585,-0.8776962062789361,0.13852013312556638,NA,0.2564949482038529,0.001663952464022031,0.007491507498902107,NA,55.326916145607804,-527.4767310103368,18.490288255850608,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,-0.6841173101310675,0.056639930826820936,-0.022377766071227802,-0.30028020203287553,0.5176046735773732,0.002460012694572119,0.014188839222676148,0.517268969748092,-1.3216984796579574,23.024243310529975,-1.5771386030975934,-0.5805107586080619,0.20607290687395455,4.064611764871496e-13,0.13561604312446884,0.5701893380501004,0.5446212538811656,1.203125082401963e-11,0.3649304433167525,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_sanguinis,-0.4831785617570178,0.07465567619631155,-0.014451764126783409,-0.7867740917953537,0.25635896975325567,0.0018845144599991235,0.007539899846461671,0.2390561961166246,-1.8847733793831163,39.61533741499987,-1.9167050519331954,-3.291167953712116,0.15595749509795345,3.5390388789446755e-5,0.15112616113474586,0.04603759069747309,0.44387902450955985,1.2775067172775902e-4,0.39940485442754264,0.18926565064516712,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Actinomyces_sp_ICM47,-1.937740934863976,0.02451583540873336,-0.0290517023951689,2.478147127253859,0.31483668314469854,0.0020961429562861306,0.009564131107191256,0.3178996230422378,-6.1547495530353835,11.695688662461086,-3.0375683969163667,7.795376111297243,0.001646812165245245,8.030558475051863e-5,0.028830783220127307,5.564683731327358e-4,0.015193264924808955,2.713862532368884e-4,0.1333423723930888,0.011765331317663557,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Lancefieldella_parvula,0.33321784328466014,-0.15228085430995963,0.03163939451713536,3.0717211559845907,0.28753244319868815,0.0017505627971959846,0.008240615035882807,0.2539760372161267,1.1588878095902482,-86.98965530050106,3.8394457670168145,12.094531396167266,0.279922335876084,3.4027114362797594e-13,0.004951081428089996,2.019381463410885e-6,0.7021780628756006,1.203125082401963e-11,0.038566318492490495,2.9886845658481096e-4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Schaalia_odontolytica,-1.8854688566429947,0.0458557051862862,0.03919374463889325,0.6298142577550587,0.273972061977748,0.0025193115545626013,0.00756100041205946,0.36211692014803837,-6.881974910259764,18.20168097242248,5.183671803056772,1.739256639810098,0.006284452557203681,3.6177381491542737e-4,0.013938976728322635,0.18037134669258875,0.03444811031356092,0.0010296639347592933,0.07934494445352885,0.5649434833984902,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Streptococcus_salivarius,-1.256262585114711,0.04824446666608308,0.008113504743087904,0.030900108540863953,0.3488997679054245,0.0019772650126520484,0.010000059501836736,0.30269106831935405,-3.6006403577065242,24.39959558146137,0.8113456466531701,0.10208463934014336,0.006975808084484417,8.497384721952113e-9,0.4406365027832063,0.9212018803431885,0.03687212844656049,8.384086258992752e-8,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Actinomyces_graevenitzii,-1.1007355541924608,0.01904430709878739,0.0212672839470308,0.5873952723368417,0.3651743934308499,0.002290200884634217,0.011517621040635896,0.38858800257809156,-3.0142736566245523,8.315561847243405,1.8464997130914993,1.5116145337472107,0.013022201349246644,8.377350307028183e-6,0.09458621111977131,0.16156997624126204,0.05353571665801398,3.5424224155433464e-5,0.27997518491452306,0.5313856996379285,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Solobacterium_moorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,-0.9160644620490882,0.025434350342755586,0.007292596670003538,0.05382397711088883,0.2966678802865167,0.0019198363650422094,0.009753239404305303,0.30895551947074074,-3.087845105322386,13.248186567294441,0.7477102086496943,0.174212706097928,0.011486065995708334,1.1460465779573072e-7,0.47185197611120955,0.8651746754191711,0.04999816962837745,7.374560588594846e-7,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
