SampleID,Axis1,Axis2,Group
P2H0,0.13448785531090401,0.10957721121714778,T0
P2H12,-0.47565864656974505,0.20212798601040763,T12
P4H0,0.36858669141738004,0.25283241118379396,T0
P4H12,0.1941824809677123,0.2720921656334376,T12
P11H0,-0.11328006176842437,0.02838569542367943,T0
P11H12,0.3380509372796468,0.10044516866411778,T12
P14H0,0.031764846517302825,-0.3392668797097708,T0
P14H12,-0.13637315498310573,-0.06216750197481042,T12
P16H0,-0.3560178517241003,0.12819175100164515,T0
P16H12,-0.12750118434254606,-0.0827017308025787,T12
P17H0,-0.4043566942893808,0.12288214016206814,T0
P17H12,-0.1893565844556286,-0.18325551767084844,T12
P21H0,0.26676183973823353,-0.1148405328253222,T0
P21H12,0.03445733451061653,-0.3137331777494108,T12
P26H0,0.003612009446728616,0.25479658617955814,T0
P26H12,0.08448249123699234,-0.24080824524771857,T12
P27H0,0.24477869126975943,0.21988722502047886,T0
P27H12,0.10137900043765527,-0.35444475451587343,T12
