"featureID","var","group1","group2","effect","se","padj"
"Actinomyces_SGB17132","Time","T0","T12",-2.50579189818085,0.258609277258843,0.000286896796531939
"Adlercreutzia_equolifaciens","Time","T0","T12",2.86312680086746,0.286395196150883,0.00017635230661234
"Anaerostipes_hadrus","Time","T0","T12",2.36107140301827,0.435652490451299,0.00214202759832084
"Bifidobacterium_pseudocatenulatum","Time","T0","T12",2.09619541151513,0.425890160533691,0.00910168045527847
"Blautia_obeum","Time","T0","T12",1.82827570230213,0.475546196667498,0.0269859991592677
"Blautia_wexlerae","Time","T0","T12",2.88988329974614,0.435257191504825,0.000313154209358117
"Clostridium_sp_1001270J_160509_D11","Time","T0","T12",-1.40140687623542,0.232717025197604,0.00996557763198799
"Dysosmobacter_welbionis","Time","T0","T12",-1.61277041234978,0.260116078838801,0.00721330789404723
"Flavonifractor_plautii","Time","T0","T12",-2.13091725165315,0.328093974933122,0.000742813819504637
"Hungatella_hathewayi","Time","T0","T12",-3.3042727188552,0.281469356669452,1.62878981578734e-05
"Lactobacillus_gasseri","Time","T0","T12",3.38825377460631,0.276294159699628,0.000617602297940349
"Ruminococcus_sp_AF41_9","Time","T0","T12",1.37991422989873,0.31733524278283,0.0319501219547264
