FeatureID,SampleID,RelAbundance,Time,sign|Time
Hungatella_hathewayi,A6H12,0,T12,TRUE
Flavonifractor_plautii,A6H12,0,T12,TRUE
Anaerostipes_hadrus,A6H12,8.067049342665792e-4,T12,TRUE
Actinomyces_SGB17132,A6H12,0,T12,TRUE
Blautia_wexlerae,A6H12,0.14963309197962785,T12,TRUE
Bifidobacterium_pseudocatenulatum,A6H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A6H12,0,T12,TRUE
Lactobacillus_gasseri,A6H12,0,T12,TRUE
Blautia_obeum,A6H12,0.013781374771655962,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A6H12,0,T12,TRUE
Adlercreutzia_equolifaciens,A6H12,0.009972734614306304,T12,TRUE
Dysosmobacter_welbionis,A6H12,0,T12,TRUE
Hungatella_hathewayi,A7H0,4.294882738742993e-4,T0,TRUE
Flavonifractor_plautii,A7H0,0.003382982875135717,T0,TRUE
Anaerostipes_hadrus,A7H0,0,T0,TRUE
Actinomyces_SGB17132,A7H0,2.2290055385183986e-5,T0,TRUE
Blautia_wexlerae,A7H0,0.032708228031500454,T0,TRUE
Bifidobacterium_pseudocatenulatum,A7H0,0,T0,TRUE
Ruminococcus_sp_AF41_9,A7H0,0,T0,TRUE
Lactobacillus_gasseri,A7H0,0,T0,TRUE
Blautia_obeum,A7H0,0.004846904054511264,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A7H0,0,T0,TRUE
Adlercreutzia_equolifaciens,A7H0,0,T0,TRUE
Dysosmobacter_welbionis,A7H0,0.002481045047454781,T0,TRUE
Hungatella_hathewayi,A7H12,0,T12,TRUE
Flavonifractor_plautii,A7H12,0,T12,TRUE
Anaerostipes_hadrus,A7H12,0,T12,TRUE
Actinomyces_SGB17132,A7H12,0,T12,TRUE
Blautia_wexlerae,A7H12,0.010635531330417218,T12,TRUE
Bifidobacterium_pseudocatenulatum,A7H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A7H12,0,T12,TRUE
Lactobacillus_gasseri,A7H12,0,T12,TRUE
Blautia_obeum,A7H12,3.795847805351024e-4,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A7H12,0,T12,TRUE
Adlercreutzia_equolifaciens,A7H12,0,T12,TRUE
Dysosmobacter_welbionis,A7H12,0,T12,TRUE
Hungatella_hathewayi,A8H0,9.515898621757704e-4,T0,TRUE
Flavonifractor_plautii,A8H0,0.008949940858369275,T0,TRUE
Anaerostipes_hadrus,A8H0,0.0022000823136833873,T0,TRUE
Actinomyces_SGB17132,A8H0,0,T0,TRUE
Blautia_wexlerae,A8H0,0.010019199700776792,T0,TRUE
Bifidobacterium_pseudocatenulatum,A8H0,4.095208128715122e-6,T0,TRUE
Ruminococcus_sp_AF41_9,A8H0,0,T0,TRUE
Lactobacillus_gasseri,A8H0,0,T0,TRUE
Blautia_obeum,A8H0,0.0021938029945526905,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A8H0,7.11883679708312e-4,T0,TRUE
Adlercreutzia_equolifaciens,A8H0,0,T0,TRUE
Dysosmobacter_welbionis,A8H0,0.0014239038663542477,T0,TRUE
Hungatella_hathewayi,A8H12,0,T12,TRUE
Flavonifractor_plautii,A8H12,0,T12,TRUE
Anaerostipes_hadrus,A8H12,0.012448149699051716,T12,TRUE
Actinomyces_SGB17132,A8H12,0,T12,TRUE
Blautia_wexlerae,A8H12,0.053412899216890714,T12,TRUE
Bifidobacterium_pseudocatenulatum,A8H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A8H12,0.013212737378341534,T12,TRUE
