"variable","method","n_pairs","shapiro_p","stat","p_value","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","fisher_p","fisher_or","fisher_ci_low","fisher_ci_high","or_ha","or_ha_ci_low","or_ha_ci_high","cutoff_used","p_fdr"
"SD_z_score_weight_2010","paired_t",14,0.1669083980469949,0.032598735231222226,0.9744897716291366,"-0.721 ± 0.929","-0.715 ± 0.754",-0.7207142857142858,0.929081136522402,-0.665,-1.245,-0.45000000000000007,-2.28,1.51,3.79,-0.715,0.7536449888579962,-0.77,-1.2525,-0.23750000000000002,-1.79,0.79,2.58,0.005714285714285707,-0.37298027601190825,0.38440884744047965,"cohen_d_paired",0.008712378462670756,NA,NA,NA,NA,NA,NA,NA,NA,0.9744897716291366
"SD_z_score_height_2010","paired_t",14,0.8896004063715033,-1.5002796076090412,0.15743271325278563,"-0.342 ± 0.625","-0.486 ± 0.626",-0.34214285714285714,0.6249206543040678,-0.46,-0.5675,0.05000000000000001,-1.61,0.75,2.3600000000000003,-0.4857142857142857,0.6264026019903013,-0.71,-0.975,-0.020000000000000004,-1.32,0.6,1.92,-0.1435714285714286,-0.3503110340930998,0.06316817695024263,"cohen_d_paired",-0.40096659114547706,NA,NA,NA,NA,NA,NA,NA,NA,0.4079214359921029
"SD_z_score_BMI_2010","wilcoxon_paired",14,0.037271021715344216,35,0.27194762399473527,"-0.955 [-1.295--0.400]","-0.865 [-1.075--0.335]",-0.7292857142857143,0.949116709089313,-0.9550000000000001,-1.2950000000000002,-0.4,-2.06,1.28,3.34,-0.625,0.889327749569216,-0.865,-1.0750000000000002,-0.335,-1.73,1.45,3.1799999999999997,0.14500000000000002,NA,NA,"rank_biserial_r",0.6666666666666667,1,1.6079126091724127,0.15284690070767934,22.70874188063879,1.5217391304347827,NA,NA,0,0.4079214359921029
