var_row,var_col,rho,p_raw,p_fdr
fecal_fat_delta,CFA_delta,-0.9999999999999998,1.1234123376434926e-23,1.1234123376434926e-22
Elastase_delta,CFA_delta,-0.8999999999999998,0.03738607346849869,0.12462024489499585
Elastase_delta,fecal_fat_delta,0.8999999999999998,0.03738607346849875,0.12462024489499585
SD_z_score_BMI_Carrascosa2010_delta,Elastase_delta,0.5999999999999999,0.28475697986529386,0.5695139597305877
SD_z_score_BMI_Carrascosa2010_delta,Ingestion_kcalday_delta,0.5999999999999999,0.28475697986529386,0.5695139597305877
Ingestion_kcalday_delta,CFA_delta,0.09999999999999998,0.8728885715695383,0.8728885715695383
SD_z_score_BMI_Carrascosa2010_delta,CFA_delta,-0.29999999999999993,0.623837664781073,0.8728885715695383
Ingestion_kcalday_delta,fecal_fat_delta,-0.09999999999999998,0.8728885715695381,0.8728885715695383
SD_z_score_BMI_Carrascosa2010_delta,fecal_fat_delta,0.29999999999999993,0.623837664781073,0.8728885715695383
Ingestion_kcalday_delta,Elastase_delta,0.19999999999999996,0.7470600781046621,0.8728885715695383
