FeatureID,SampleID,RelAbundance,Time,sign|Time
Prevotella_pallens,A19E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A19E0,0,T0,TRUE
Neisseria_subflava,A19E12,0,T12,TRUE
Fusobacterium_periodonticum,A19E12,0,T12,TRUE
Prevotella_pallens,A19E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A19E12,0,T12,TRUE
Neisseria_subflava,A22E0,0,T0,TRUE
Fusobacterium_periodonticum,A22E0,0,T0,TRUE
Prevotella_pallens,A22E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A22E0,0,T0,TRUE
Neisseria_subflava,A22E12,0.11778789644150425,T12,TRUE
Fusobacterium_periodonticum,A22E12,0,T12,TRUE
Prevotella_pallens,A22E12,0.004532157915751504,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A22E12,0,T12,TRUE
Neisseria_subflava,A24E0,0,T0,TRUE
Fusobacterium_periodonticum,A24E0,0,T0,TRUE
Prevotella_pallens,A24E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A24E0,0,T0,TRUE
Neisseria_subflava,A24E12,0.1339699,T12,TRUE
Fusobacterium_periodonticum,A24E12,0,T12,TRUE
Prevotella_pallens,A24E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A24E12,0,T12,TRUE
Neisseria_subflava,A25E0,0,T0,TRUE
Fusobacterium_periodonticum,A25E0,0,T0,TRUE
Prevotella_pallens,A25E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A25E0,0,T0,TRUE
Neisseria_subflava,A25E12,0.04166377319010179,T12,TRUE
Fusobacterium_periodonticum,A25E12,0.004029372793485646,T12,TRUE
Prevotella_pallens,A25E12,0.02478304013194762,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A25E12,0.0027244466591728805,T12,TRUE
Neisseria_subflava,A27E0,0,T0,TRUE
Fusobacterium_periodonticum,A27E0,0,T0,TRUE
Prevotella_pallens,A27E0,0.0019673210684446637,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A27E0,0,T0,TRUE
Neisseria_subflava,A27E12,0,T12,TRUE
Fusobacterium_periodonticum,A27E12,0.0036760880873937924,T12,TRUE
Prevotella_pallens,A27E12,0.007064928079284923,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A27E12,0.018787703840237077,T12,TRUE
Neisseria_subflava,A28E0,0,T0,TRUE
Fusobacterium_periodonticum,A28E0,0,T0,TRUE
Prevotella_pallens,A28E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A28E0,0,T0,TRUE
Neisseria_subflava,A28E12,0,T12,TRUE
Fusobacterium_periodonticum,A28E12,0,T12,TRUE
Prevotella_pallens,A28E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A28E12,0,T12,TRUE
Neisseria_subflava,A30E0,0,T0,TRUE
Fusobacterium_periodonticum,A30E0,0,T0,TRUE
Prevotella_pallens,A30E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A30E0,0,T0,TRUE
Neisseria_subflava,A30E12,0.06699113863337335,T12,TRUE
Fusobacterium_periodonticum,A30E12,0.004053907549253289,T12,TRUE
Prevotella_pallens,A30E12,0.01997213870129001,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A30E12,2.5282434178138793e-4,T12,TRUE
Neisseria_subflava,P2E0,0,T0,TRUE
Fusobacterium_periodonticum,P2E0,0,T0,TRUE
Prevotella_pallens,P2E0,0,T0,TRUE
