FeatureID,n_pairs,n_T0,n_T12,p,padj,padj_signif
Fusobacterium_periodonticum,30,30,30,0.0032637169016702335,0.013054867606680934,*
Neisseria_subflava,30,30,30,0.02800781669697017,0.02800781669697017,*
Prevotella_pallens,30,30,30,0.021434319431080633,0.02800781669697017,*
TM7_phylum_sp_oral_taxon_351,30,30,30,0.02439024143305406,0.02800781669697017,*
