SampleType,Rank,Taxon,n_paired,detected_T0_n,detected_T12_n,detected_T0_percent,detected_T12_percent,detected_T0_only_n,detected_T12_only_n,detected_both_n,not_detected_n,increased_n,decreased_n,stable_n,median_T0_all,Q1_T0_all,Q3_T0_all,median_T12_all,Q1_T12_all,Q3_T12_all,median_delta_all,Q1_delta_all,Q3_delta_all,median_T0_among_T0_detected,median_T12_among_T0_detected,median_delta_among_T0_detected,patients_detected_T0_only,patients_detected_T12_only,patients_with_decrease,patients_with_increase
feces,Species,Ruminococcus_gnavus,34,32,32,94.11764705882352,94.11764705882352,2,2,30,0,13,21,0,1.1094750872819583,0.16042305433775209,2.3311966523857177,0.40791225149097676,0.11066751931150358,1.7147370858902735,-0.25243886438112106,-1.7907753843684568,0.1338778739425527,1.317961579453999,0.43283230770294767,-0.27863478309443035,A24; A28,A1; P4,A10; A13; A16; A19; A22; A24; A25; A28; A3; A4; A7; A8; A9; P11; P16; P17; P2; P21; P25; P42; P5,A1; A12; A17; A20; A26; A27; A30; A6; P14; P20; P26; P27; P4
feces,Species,Blautia_wexlerae,34,28,32,82.35294117647058,94.11764705882352,1,5,27,1,25,8,1,0.3156488555036484,0.024170754797278083,0.7146928832475015,3.7459625773194216,0.5890739803440748,6.495719891580392,2.548505315115527,0.06715424463082435,5.4678182573783944,0.4685281173383308,3.684492794491623,1.9217149818284505,A28,A10; A13; A20; A25; P25,A1; A12; A19; A22; A28; A4; A7; P20,A10; A13; A16; A17; A20; A24; A25; A26; A27; A3; A30; A6; A8; A9; P14; P16; P17; P2; P21; P25; P26; P27; P4; P42; P5
feces,Species,Bifidobacterium_longum,34,26,26,76.47058823529412,76.47058823529412,5,5,21,3,15,16,3,1.002391110839721,0.03453458394486946,4.746132333067539,1.2754413416435533,0.022864574302856558,4.4818274021325575,0,-1.8043948683706479,2.1859122175957006,1.8046055516967527,1.046617625672564,-0.5730905463603162,A3; A9; P20; P21; P4,A10; A25; A26; A30; P5,A16; A17; A22; A3; A7; A9; P11; P16; P17; P20; P21; P25; P26; P27; P4; P42,A1; A10; A12; A13; A20; A24; A25; A26; A28; A30; A6; A8; P14; P2; P5
feces,Species,Blautia_massiliensis,34,25,27,73.52941176470588,79.41176470588235,3,5,22,4,19,11,4,0.1333934319118325,0.001160756851574147,0.7877930656815397,1.0597417882104219,0.027350696429792404,5.545026311393392,0.48454500100280895,-0.11309633480534459,4.775224619121447,0.30771864693903295,1.2902101290210128,0.27439592964429416,A10; A28; P20,A12; A25; A9; P25; P5,A1; A10; A13; A28; A4; A8; P17; P2; P20; P26; P27,A12; A16; A17; A19; A22; A24; A25; A26; A3; A30; A6; A9; P14; P16; P21; P25; P4; P42; P5
feces,Species,Anaerostipes_hadrus,34,24,30,70.58823529411765,88.23529411764706,1,7,23,3,24,7,3,0.126292138414921,0,1.8327985316110547,1.6204129804511025,0.782656452950786,3.667393580752774,0.9957044891729528,0,2.6601804826587765,0.6217309156792202,1.8428025055732227,0.848958578726445,A4,A12; A25; A26; A6; P17; P20; P25,A1; A16; A19; A3; A4; P2; P5,A10; A12; A13; A17; A20; A22; A24; A25; A26; A30; A6; A8; A9; P11; P14; P16; P17; P20; P21; P25; P26; P27; P4; P42
feces,Species,Eubacterium_rectale,34,17,23,50,67.64705882352942,1,7,16,10,16,8,10,0.0027007024527079494,0,0.9876367216733426,0.322014642953379,0,1.886225687596251,0,0,0.3776840503840737,1.097270109727011,0.7097882797613664,0.28588698079990615,A25,A17; P11; P25; P27; P4; P42; P5,A1; A12; A20; A25; A26; A3; A30; P14,A16; A17; A24; A6; A8; P11; P16; P17; P2; P21; P25; P26; P27; P4; P42; P5
feces,Species,Dialister_invisus,34,14,19,41.17647058823529,55.88235294117647,1,6,13,14,11,9,14,0,0,2.4853374462461337,0.0325729599884175,0,0.6392304829636836,0,-0.00815208089746754,0.117618045894851,3.9214540771841326,0.3741987924036229,-0.9260821404268178,P2,A12; A25; P11; P17; P25; P5,A19; A24; A26; A30; A7; A8; P2; P21; P4,A12; A16; A17; A25; A4; P11; P14; P16; P17; P25; P5
feces,Species,Ruminococcus_bromii,34,12,22,35.294117647058826,64.70588235294117,5,15,7,7,16,11,7,0,0,0.47669567664890633,0.5114416688436956,0,1.9084703915630796,0,-0.22975233308933599,1.4827824416046407,1.2411774326803298,0.385596104332546,-0.833635108087363,A1; A26; A4; P4; P42,A12; A13; A16; A17; A19; A22; A25; A28; A7; P16; P17; P25; P26; P27; P5,A1; A20; A26; A3; A4; A8; P14; P2; P21; P4; P42,A12; A13; A16; A17; A19; A22; A24; A25; A28; A7; P16; P17; P25; P26; P27; P5
feces,Species,Akkermansia_muciniphila,34,8,15,23.52941176470588,44.11764705882353,1,8,7,18,11,5,18,0,0,0,0,0,0.2445413706826094,0,0,0.14041461956005744,4.494392131856224,2.1889460791027915,-0.31903398705552405,A30,A17; A3; P11; P14; P16; P21; P25; P42,A22; A30; A8; P26; P27,A1; A17; A3; P11; P14; P16; P2; P21; P25; P4; P42
